{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-54A3E,-548A5,-54947
-3CD0C,-3CEC2,-3D0C4
-548E0,-548AC,-547A0
-3CED5,-3CC56,-3CFBD
-54933,-54857,-54AE9
-3CDA2,-3CE0F,-3CF15
-549DD,-548E5,-5495D
-3D064,-3CE9C,-3CFB0
-545CA,-549B7,-5481A
-3CEAC,-3CE3F,-3CE24
-549B0,-54955,-54698
-3CA59,-3CC5B,-3CC58
-545C9,-5461F,-5473C
-3CED2,-3CE7A,-3CD3D
-5475C,-548FF,-5489D
-3CE74,-3CCE6,-3CCA8
-54968,-5474E,-54665
-3CE39,-3CF0E,-3CEF3
-546B9,-547E2,-54756
-3CD55,-3CE9D,-3CFF2
-549E0,-54910,-5470A
-3CDB4,-3CD94,-3CBF3
-545A1,-54795,-54891
-3CD53,-3CDDE,-3CD3C
-546D7,-546BA,-54623
-3CE5F,-3CBCF,-3CDD6
-54688,-546ED,-547CA
-3CE32,-3CD27,-3CCEB
-5484C,-54772,-54700
-3CC27,-3CBE1,-3CCAF
-545AC,-54807,-5460F
-3CDE0,-3CC57,-3CDA3
-54845,-549AB,-549A4
-3CF01,-3D006,-3CFEF
-549D3,-54B33,-54968
-3CE72,-3CE69,-3CF33
-54777,-54A9A,-5476D
-3CD04,-3CF1F,-3CE01
-5485F,-547FD,-54922
-3CD57,-3CE0E,-3D022
-54843,-54916,-5488A
-3CF86,-3CDD2,-3D01B
-54702,-549A2,-54725
-3CDF4,-3CED9,-3CDD0
-5485C,-54925,-546FC
-3CDA4,-3CC93,-3CD5D
-54997,-54900,-5492B
-3CD9E,-3CB64,-3CCA0
-54832,-547DB,-54908
-3CF4A,-3CF41,-3CE88
-5491C,-5480D,-54A07
-3CBDD,-3CEAA,-3CC23
-547B9,-54803,-54731
-3CC81,-3CBB0,-3CD83
-548B6,-5464F,-5470A
-3CCC6,-3CC9B,-3CC9B
-54697,-5474F,-547BE
-3CD2D,-3CBF5,-3CE80
-547A9,-547EE,-54826
-3CB16,-3CBE7,-3CBF2
-544C5,-54845,-54803
-3CEC2,-3CD30,-3CDF5
-5479C,-54822,-5488B
-3CC53,-3CB85,-3CDFA
-54761,-548B5,-547FA
-3CE52,-3CD8C,-3CCA3
-54537,-54694,-54431
-3CB71,-3CB05,-3CCE7
-5477A,-546F1,-54732
-3CD73,-3CD29,-3CEF5
-544EC,-54503,-544C9
-3CB04,-3CAB2,-3CBA1
-54499,-545F7,-54467
-3CB18,-3CAE9,-3CA7C
-5458D,-543DF,-5465B
-3CB0B,-3CA19,-3CB5A
-54582,-545D8,-54384
-3C9E2,-3CBF4,-3CAB8
-54501,-544C3,-545A7
-3C8DC,-3CAA4,-3C9CB
-54648,-544D3,-54645
-3CAAC,-3C99B,-3CC4A
-54623,-543F7,-544D7
-3C9E1,-3CB0D,-3CA8B
-54546,-5461B,-544D0
-3CBF6,-3C968,-3CAF6
