{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5B2F5,-5B18C,-5B21B
-43865,-435F1,-437AE
-5B1A9,-5B25C,-5B288
-43715,-43787,-43670
-5B060,-5B2D3,-5B093
-4365B,-43461,-436FF
-5B205,-5B1DD,-5B00B
-43622,-436A1,-437FB
-5B14A,-5AF18,-5B03D
-436DF,-436B2,-436FE
-5B11B,-5B147,-5B1F7
-43647,-43756,-43756
-5AF87,-5AFF6,-5B092
-43874,-437BA,-43830
-5B21C,-5B0E1,-5B16B
-43645,-43544,-43642
-5B228,-5B455,-5B1E3
-43797,-437E1,-438EB
-5B2E5,-5B190,-5B2F4
-436FF,-437CF,-4361B
-5B2A1,-5B00B,-5B070
-4382E,-43828,-43716
-5B2D6,-5B19F,-5B093
-436DC,-435CE,-43585
-5B210,-5B0D7,-5AECA
-435F4,-4365D,-43593
-5B12C,-5B112,-5AE85
-436A7,-43703,-43398
-5AF8F,-5B190,-5B07B
-435AB,-4373B,-4369D
-5B0C2,-5B01E,-5AFAD
-4369A,-437BB,-4387F
-5B288,-5B29A,-5B13B
-4372C,-43A03,-4375C
-5B15C,-5B0CC,-5B213
-4374D,-43840,-4379F
-5B2EF,-5B0C1,-5B3A1
-4389E,-437BF,-43735
-5B126,-5B153,-5B168
-43883,-437BA,-436E8
-5B054,-5B0BA,-5B0D7
-437FD,-43875,-43741
-5B10B,-5B2A0,-5B1F6
-437F2,-43731,-434F8
-5AF47,-5AFB5,-5B198
-43564,-4353F,-43668
-5B1CA,-5B031,-5B06F
-43700,-4360E,-434B6
-5B10A,-5B08D,-5B207
-4373A,-436F0,-436D6
-5B223,-5B21D,-5B2D7
-437D5,-437CA,-436B8
-5B256,-5B1D2,-5B2DC
-438B1,-43688,-43663
-5B171,-5B0BC,-5B0CC
-436C0,-435F3,-4366B
-5B15E,-5B188,-5B3D3
-43619,-43701,-43702
-5B1E6,-5B089,-5B0C6
-4356D,-43445,-433E0
-5AFFF,-5AE71,-5AE4C
-4358F,-43526,-434C1
-5AF0D,-5AE7C,-5B000
-43365,-432FB,-434B7
-5AADC,-5AB2A,-5AE6C
-433CB,-433EA,-43354
-5B0D6,-5AECB,-5AE92
-43363,-4323C,-432E2
-5AD37,-5AD95,-5AF17
-432E0,-432F1,-4339B
-5AE53,-5AEE6,-5AE1D
-4337D,-4326A,-4331A
-5ACF8,-5ADA2,-5AC5F
-433A5,-434AD,-43499
-5AFD7,-5AF6B,-5AE28
-43358,-434F4,-433E1
-5AEAC,-5AFFC,-5AFD8
-4352B,-434F3,-432D6
-5AD7E,-5AB6B,-5ABE0
-4312F,-4315A,-4305D
-5AD3E,-5AE1C,-5B00B
-43440,-433C3,-43234
-5ACDF,-5B057,-5AE5D
-4323A,-43217,-4343B
-5AD9A,-5AD55,-5ADF2
-43474,-43451,-432EB
-5AC02,-5AEE2,-5ACE9
-4320A,-430E0,-4314C
-5ACD3,-5AE15,-5AC5C
-43270,-43245,-432A3
-5AA3A,-5AD11,-5AF8D
-43299,-43221,-431BB
-5ABBB,-5AD5C,-5ABD6
-43062,-431D8,-432B2
-5ADF8,-5AD86,-5ACAE
-4346C,-434AA,-433B8
-5B085,-5ACE9,-5AEE4
-43413,-43453,-434CB
-5AE04,-5AEF2,-5ADC5
-43252,-4330A,-432D5
