{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-61FA9,-61DD8,-61E8F
-4A4C5,-4A5BD,-4A5ED
-620CA,-61DCE,-61DDF
-4A780,-4A5A3,-4A68C
-61EAB,-62070,-61F65
-4A685,-4A65C,-4A69E
-62319,-62128,-61F9C
-4A3D7,-4A6EB,-4A637
-61FB9,-61F35,-62107
-4A6DE,-4A608,-4A675
-621F4,-620E1,-62050
-4A5F7,-4A4A1,-4A4DD
-61F57,-61FC4,-620F5
-4A542,-4A4FD,-4A8E1
-620B5,-61E01,-61FA1
-4A433,-4A406,-4A4E2
-62233,-620DF,-621AD
-4A63D,-4A5BA,-4A64C
-62176,-62178,-6216F
-4A523,-4A429,-4A2F0
-61FB0,-61FE5,-61FC7
-4A4D4,-4A5EF,-4A4DD
-61DC2,-61D01,-61F73
-4A576,-4A40A,-4A5B2
-61D4F,-62090,-61F26
-4A3BA,-4A2E5,-4A383
-61D29,-6200C,-61FF9
-4A529,-4A2C8,-4A4CF
-6202E,-62011,-61DE9
-4A30D,-4A441,-4A45B
-61F99,-61DD5,-620DC
-4A556,-4A55F,-4A5A8
-621E2,-62048,-620A6
-4A6F5,-4A713,-4A6E3
-6223F,-620E4,-61F33
-4A796,-4A77A,-4A7AE
-6216C,-62281,-620B6
-4A6D2,-4A772,-4A5E5
-62131,-620D3,-6211C
-4A44C,-4A5DE,-4A65C
-62056,-620C3,-6218C
-4A791,-4A647,-4A6AD
-61E3C,-61EF1,-620EC
-4A62F,-4A67B,-4A53E
-62101,-62244,-6216F
-4A6F9,-4A63F,-4A27B
-62095,-621CC,-6223A
-4A687,-4A4EF,-4A8AD
-62159,-62129,-62022
-4A5DA,-4A70E,-4A5D2
-620F1,-620B4,-620C5
-4A4B0,-4A67F,-4A822
-6210A,-62118,-620CC
-4A66F,-4A715,-4A756
-61F32,-6214B,-62029
-4A4BF,-4A468,-4A497
-61F13,-6202A,-62068
-4A62E,-4A3F0,-4A52C
-62004,-620FE,-62043
-4A78D,-4A741,-4A794
-61F7B,-621ED,-620A2
-4A515,-4A4BD,-4A57B
-62146,-621D3,-620BD
-4A343,-4A3AE,-4A6BA
-61E42,-61EB0,-61EB0
-4A5A8,-4A4E5,-4A42F
-61C38,-61F17,-61CD2
-4A3B6,-4A506,-4A3A4
-61CEC,-61C40,-61E24
-4A592,-4A47D,-4A2E9
-61E24,-61DCE,-61E54
-4A5E9,-4A3EC,-4A4E3
-61C9D,-61DF8,-61F73
-4A3BE,-4A4FA,-4A3DA
-61FB4,-61F0E,-61E07
-4A477,-4A41F,-4A3EF
-61DA6,-61DD7,-61F7A
-4A49F,-4A2E0,-4A2ED
-61E2D,-61E70,-61F6A
-4A390,-4A0D5,-4A1D3
-61D19,-61D29,-61E18
-4A44C,-4A41F,-4A27C
-61E8B,-61DA0,-61E85
-4A22D,-4A33B,-4A2CF
-61EF7,-61D9D,-61D53
-4A357,-4A250,-4A32B
-61DCB,-61D86,-61E85
-4A3E7,-4A4C7,-4A208
-61C50,-61D42,-61FCF
-4A330,-4A37D,-4A34B
-61CF9,-61C5C,-61DA9
-4A453,-4A3EC,-4A2D5
-61D3D,-61DE7,-61EE5
-4A15E,-4A2EC,-4A22E
-620A1,-61ED5,-61CB8
-4A5ED,-4A534,-4A3BC
-61EC5,-61D10,-61DEE
-4A415,-4A329,-4A4C6
-61E65,-61DEF,-61EAC
-4A442,-4A3A5,-4A572
-61DFF,-61E4C,-61F8A
-4A462,-4A3CD,-4A3B9
-61E90,-61ECB,-61CD6
-4A4BB,-4A3AB,-4A464
-61E4B,-61DE4,-61D42
-4A318,-4A4FA,-4A351
-61D6F,-61D77,-61EBE
-4A3A2,-4A401,-4A2F8
-61B7D,-61AD2,-61C68
-4A215,-4A1A4,-4A0A1
-61D78,-61BB9,-61E8B
-4A1A4,-4A404,-4A360
-61DD6,-61F50,-61DB7
-4A40E,-4A290,-4A557
-61C32,-61D3B,-61D37
-4A24E,-4A2BE,-4A27D
-61E9A,-61C94,-61CC5
-4A3EB,-4A1F6,-4A106
-61D74,-61D7B,-61B1C
-4A157,-4A037,-4A11F
-61E77,-61CAE,-61F35
-4A340,-4A47B,-4A347
-61D13,-61C93,-61E23
-4A1F7,-4A18F,-4A2F6
-61C3E,-61CCA,-61D57
-4A1E1,-4A1E6,-4A26B
-61DC4,-61D24,-61D41
-4AC5A,-4ACAA,-4ABC7
-61B77,-61A40,-61A0B
-49EE3,-49F91,-4A063
-6170F,-61A03,-618DB
-49DB3,-49EB4,-49D06
-61803,-61849,-61877
-49DA5,-49EF7,-49DAA
-618E6,-618C9,-61976
-49E00,-49F0D,-49F13
-619E7,-619A1,-61804
-49E0B,-49C64,-49D4B
-61871,-61971,-6187B
-49DF4,-49E5F,-49E92
-61915,-61904,-616D9
-49D93,-49E08,-49D19
-616CE,-61843,-617DA
-49CF3,-49CB8,-49DC6
-618AC,-617F8,-617B6
-49E6B,-49E93,-49DCE
-616FC,-6181D,-617A4
-49CD1,-49C6D,-49DBD
-61747,-616FD,-617B5
-49DD6,-49E03,-49E60
-61585,-617D6,-61634
-49AB0,-49E14,-49D3A
-61805,-61639,-61799
-49CCC,-49CAA,-49EAD
-616C9,-617E3,-618B5
-49D3F,-49DBF,-49D9F
-61791,-61864,-61903
-49E64,-49ECD,-49CA1
-61648,-61656,-6171D
-49F26,-49D6C,-49DDD
-61799,-617AA,-618D9
-49D99,-49DA5,-49E77
-61838,-61849,-618A3
-49D39,-49C7A,-49EC9
-61701,-61845,-6176B
-49D9E,-49F4F,-49EDD
-61807,-618C4,-61913
-49FD8,-4A05B,-49D84
-616CA,-6197D,-618F7
-49C9C,-49EF1,-49D4F
-61855,-61A01,-61936
-49FC3,-49E48,-49D75
-616D4,-61773,-618AE
-49BE9,-49B86,-49BCE
-61661,-616CD,-6174A
-49B36,-49CB4,-49D97
-615F2,-61797,-617F2
-49CD3,-49D76,-49B6C
-6172C,-61845,-61896
-49E70,-49D9E,-49D92
-61993,-61750,-6182D
-49C84,-49AE8,-49C88
-61762,-61740,-6178C
-49D25,-49CAA,-49CCA
-61937,-61841,-61824
-49EDA,-49DE8,-49D9B
-6177F,-616F2,-616EE
-49C5E,-49E3B,-49D45
-616BE,-6169C,-617E5
-49D99,-49D61,-49A56
-6177E,-61536,-61653
-4994A,-499AA,-49BC0
-61664,-61429,-61642
-499EF,-499AC,-49ABB
-616F5,-6158F,-6138E
-49B8B,-49BA7,-499E6
-61644,-6169A,-61634
-49C2B,-49B98,-49A7D
-61587,-615BB,-61522
-49859,-49922,-49A5E
-6152B,-61698,-6172C
-49BC5,-49AC2,-49AAD
-614F1,-613BC,-61493
-49A3D,-49ABE,-49A94
-61413,-61579,-61439
-4996A,-4999C,-4992E
-61401,-6139D,-6142A
-49B46,-4991F,-4997A
-61496,-61505,-61396
-4992F,-49BB6,-49BA9
-613A7,-61554,-616B1
-49947,-49A60,-49A12
-6120B,-61434,-61495
-49885,-49B3D,-49B0E
-615B1,-61381,-61692
-49A42,-49B20,-498CB
-61430,-612F2,-61542
-49A37,-499E3,-49938
-613D8,-612CB,-61591
-49A73,-4999B,-49A06
-614FC,-615A4,-61328
-49A1A,-49A32,-49854
-613BF,-6128E,-614A9
-49B56,-49924,-49A76
-6145E,-61482,-61522
-49B9D,-499F5,-49CD2
-614D4,-6150E,-61503
-49B60,-49A01,-499DB
-613F6,-61562,-615BA
-49ADA,-49A68,-49B0C
-615E8,-61487,-61594
-49928,-49A5C,-49B23
-61497,-61455,-6158C
-49AD3,-4985B,-49B26
-61602,-615A8,-615EC
-49BCF,-49950,-499A3
-61411,-613BB,-61551
-499F2,-49AEA,-49B0D
-6154F,-614D3,-61695
-49A09,-499BF,-49A32
-614A8,-61552,-6143F
-49ACB,-49B1F,-49A5F
-613C2,-615B3,-6151E
-49AAF,-499DF,-498F0
-612E5,-61460,-61412
-498D4,-49938,-498CA
-61574,-61403,-6154F
-49943,-49969,-49898
-6136F,-61605,-613B3
-499F1,-49AB0,-4990E
-613D5,-61464,-61446
-4991E,-499F4,-499DB
-612BF,-6126F,-6134E
-499A2,-498AB,-49935
-61465,-611F9,-61267
-4ADA1,-4AEFF,-4AE73
-613AF,-614D1,-615B6
-49CD1,-49A93,-49BA6
-617C8,-61540,-61633
-49CBD,-4999F,-49AA5
-613D1,-61472,-615F7
-49B94,-49A5F,-499F4
-61474,-61534,-61431
-499F4,-49B59,-4996B
-613CC,-613CB,-614E7
-49CD3,-49A7B,-49B85
-612C0,-613F0,-615BB
-49932,-499BF,-49A2D
-615E0,-613A9,-61337
-499F0,-49BEC,-49A2B
-614CF,-61735,-6153C
-49B21,-49AA4,-49AD2
-61376,-61600,-61525
-49CF4,-49BA5,-49A9D
-6174A,-61767,-6154B
-499D9,-49B45,-499F2
-61600,-61440,-6144B
-49980,-49BF7,-49ABD
-614F7,-6150D,-61478
-499BF,-49936,-4990B
-6122B,-6134D,-6145B
-498A0,-497FF,-499CF
-61386,-61332,-61458
-49AF8,-49A3F,-49A5B
-61366,-615FA,-61624
-49AED,-498A3,-49908
-612E0,-6131F,-61432
-49B05,-49A10,-49A63
-61518,-6145C,-614A5
-49AE8,-49B6F,-49AE3
-61553,-61516,-61653
-49BB7,-49BF5,-49ACE
-61494,-61642,-61772
-49C71,-49ACB,-49B85
-615B6,-61649,-617FF
-49AB1,-49C48,-49895
-61571,-614FB,-6139E
-49C4E,-49B57,-49BA4
-61620,-6164B,-614A8
-49A19,-499FA,-49954
-612A2,-612FC,-614F7
-49A70,-4998D,-499E6
-615A4,-61474,-61390
-49B0F,-49A76,-49910
-6151B,-61517,-613CE
-49BDD,-49D38,-49B73
-6148C,-61701,-61562
-49A68,-49C1B,-49C1C
-613BF,-6167A,-61554
-49ACE,-49A49,-49B92
-61565,-61372,-61534
-49A8F,-49A73,-49A6E
-6148D,-616BB,-6159F
-49C3D,-49BD5,-49C49
-614F7,-6149B,-61449
-49A90,-49AF0,-49ACB
-614EE,-6146C,-61483
-49A5B,-49BF0,-49B60
-614D9,-61507,-61608
-497B8,-49849,-497C3
-61297,-6130C,-6124A
-49ABF,-497CF,-49982
-6137E,-61597,-6120E
-4986E,-498B2,-498C9
-611DA,-612F6,-612E8
-4983A,-496F0,-4977E
-6122D,-61295,-6117D
-497C8,-49757,-495D1
-61349,-613D1,-6126D
-498DF,-4982F,-495E7
-612FE,-61229,-61351
-49853,-49839,-49900
-61253,-6114B,-6124D
-49697,-49659,-497E7
-61300,-61273,-61205
-495F4,-49865,-4972C
-61143,-610BB,-612D4
-496A0,-497AC,-496B4
-6116F,-6109E,-61148
-497A0,-496B0,-4991B
-610F2,-61358,-612CB
-497C8,-496B2,-4964A
-611D6,-611FD,-61353
-49640,-497EA,-49696
-61106,-61208,-612D9
-49772,-49895,-49919
-6134D,-613E7,-61315
-499CD,-49875,-4987B
-610F3,-61250,-611D4
-49742,-49761,-4970C
-6129C,-61313,-613D8
-49960,-49914,-499B7
-6135A,-611D8,-6112F
-498DB,-49A7D,-49868
-6146E,-6148D,-612CC
-49A0D,-49A28,-49890
-611CA,-61389,-6115A
-4984B,-49822,-49862
-61190,-613E5,-61251
-49A8A,-4972D,-49909
-6141F,-611DF,-61243
-4995D,-498F5,-49940
-613AE,-612EB,-6154E
-497E4,-49875,-49B2E
-6157B,-612F7,-612BF
-4995F,-49869,-498BD
-611C3,-612A8,-61205
-497C3,-4982A,-49870
-61546,-61370,-6128D
-49817,-49B53,-49810
-61450,-613B9,-61363
-49904,-4993C,-499FD
-615E0,-613D3,-612E8
-496E7,-49917,-497E9
-612D7,-61222,-613AA
-498ED,-498B1,-4984E
-614A0,-61314,-613DA
-499A7,-49A3A,-49995
-612BB,-613B2,-61433
-499B9,-498B2,-49938
-613B1,-61365,-612F1
-498F8,-4966E,-49A5C
-6134A,-61165,-611AC
-4A1D5,-4A239,-4A2E8
-60ECF,-60F54,-60E99
-49393,-492AB,-4943A
-60DA7,-60D07,-60E68
-49464,-49456,-493ED
-60D44,-60DC6,-60CE2
-49339,-49465,-493A8
-60F43,-60E55,-60CE8
-493C0,-494A5,-49265
-60EB4,-60DD7,-60C96
-49522,-4940C,-493CD
-60E7F,-60E95,-60E3B
-49342,-49327,-493B0
-60D24,-60CFD,-60DB8
-492CA,-493E5,-49333
-60E42,-60EC9,-6100A
-4938C,-49164,-4945E
-60EEA,-60D83,-60E7F
-4939B,-49526,-4942F
-61072,-60E87,-60D1F
-4944E,-49209,-493CE
-60CA5,-60F78,-60E75
-494DA,-493DA,-49475
-60E1C,-60E9D,-60DE0
-49211,-4925A,-49352
-60CF3,-60C22,-60C43
-49457,-493BC,-49273
-60CC8,-60CDD,-60E17
-4914F,-4938E,-49304
-60E5E,-60E41,-60E40
-49224,-490ED,-4923E
-60BBB,-60BC5,-60BBA
-493B4,-4934A,-493E6
-6102D,-60EDE,-60C81
-4967A,-49450,-49390
-60CEA,-60F0E,-60EF2
-493BD,-4948F,-4940A
-60FD3,-60ED3,-60E34
-4914E,-4951D,-493B0
-60D79,-60DD0,-60E41
-49458,-4932E,-4925E
-60DA4,-60C8F,-60E6E
-495F6,-4923D,-49308
-60D68,-60CC4,-60C63
-490E9,-49391,-492A8
-60C67,-60CE1,-60E32
-49581,-493B9,-4947E
-60DF9,-60E2E,-60DE8
-4942A,-49160,-491BF
-60C53,-60E09,-60DDC
-494C2,-4949F,-494AB
-60F32,-60E80,-60E08
-493DC,-49252,-49376
-60EF3,-60F5B,-60F64
-495C1,-494BF,-4968F
-60E3C,-610EE,-6100F
-494E9,-4947E,-49461
-60E04,-60F79,-60F15
-496C0,-4956C,-4942F
-60F99,-60FB9,-61019
-493AD,-49362,-49444
-60C57,-60FB4,-60CF0
-49461,-492A9,-492EC
-60C9B,-60D95,-60EA8
-490BB,-490AE,-48E96
-60C2E,-60CB5,-60D25
-493DF,-4919F,-491C9
-60C33,-60D1A,-60B49
-49142,-490FC,-490D0
-60BA6,-60BC9,-60DA7
-49388,-490C9,-49353
-60AD5,-60CA1,-60C34
-49196,-491DA,-4924A
-60CB1,-60E21,-60D6A
-491E5,-49272,-49099
-60BC6,-60CC0,-60B9B
-49023,-490D3,-49090
-60B6A,-60BA8,-60A80
-4929E,-49167,-48FE5
-60B6F,-60D3D,-60CBC
-48E84,-48FCA,-49133
-60C6F,-60CB8,-60C49
-491D8,-490D9,-491BA
-60AC2,-60C2B,-60C0A
-49003,-4910E,-49265
-60AF7,-60A0A,-60AE8
-492CF,-48F64,-49054
-60AD0,-60BEE,-60AFA
-4901A,-49056,-48FAE
-60AA2,-6094D,-60878
-48F31,-49009,-48FF2
-609FA,-60B15,-60A70
-49012,-48DE3,-48DEA
-608C6,-6092F,-60A1E
-48EA7,-48EC7,-48D6A
-60A08,-60A44,-60A6F
-490A5,-48EA3,-48E2E
-60AB1,-60A69,-60BF0
-492AA,-49235,-491C1
-60ABE,-60BEF,-60B45
-49043,-49084,-48F22
-60C03,-60A63,-60B9A
-48FF9,-48F9C,-48FCE
-60AC0,-60AE1,-60B56
-4907B,-48EE0,-48E1D
-608E0,-609D0,-60B29
-48D3B,-48EC1,-48FDB
-60BEE,-60B0D,-60A9B
-48F5C,-48EB8,-48D97
-6094F,-6095A,-60967
-49082,-48D9F,-48FB9
-60BBC,-60B0D,-60922
-48E29,-48EB4,-48EC5
-609F3,-609AC,-609EA
-490B5,-490BA,-490FD
-60AC2,-60A29,-60959
-48E0F,-48F9E,-490E3
-60A86,-60B3C,-6092F
-48FBA,-490C1,-490F6
-60AEC,-60AB7,-609AA
-48F38,-48F1E,-48EC3
-60A22,-608D0,-6096F
-49079,-49056,-48EF3
-60981,-60B42,-60BBC
-48E57,-48C9F,-48F33
-60873,-608D6,-608C0
-48E91,-48E46,-48C7C
-60B26,-609EB,-60AD9
-49259,-491BB,-4907F
-606A7,-6073D,-60680
-48DA0,-48C0C,-48CE3
-6089B,-6056F,-6055B
-48B92,-48A0A,-48E0C
-608AD,-604E0,-6079E
-48CD0,-48C0A,-48B70
-604B3,-60579,-60495
-48D18,-48BB2,-48C72
-6068C,-604D5,-6057F
-48B51,-48C1C,-48CCF
-604BA,-604AB,-60568
-48B44,-48BFF,-48D13
-605B8,-605B2,-604E3
-48BF0,-48C3C,-48ACB
-604CF,-606EF,-6053C
-48BCB,-48AE9,-48B52
-60570,-608B2,-6071B
-48D50,-48CF2,-48D0E
-605A9,-605B1,-60520
-48BEB,-48B4C,-48BD3
-60536,-605C9,-606A4
-48BBE,-48A8A,-4895E
-6054F,-605E9,-60662
-48ABA,-48997,-48A6C
-6047A,-6051B,-60453
-488E2,-48BAF,-48AF2
-6055B,-60690,-607D8
-48B6A,-48A29,-48A59
-6051A,-60541,-6049B
-48AB6,-488C0,-489CC
-6062A,-6041B,-60379
-48C21,-48C21,-48A3E
-6068A,-604EC,-607DE
-48E3E,-48BBC,-48C51
-6095E,-60623,-6084D
-48CD4,-48C47,-48B63
-60867,-6050C,-605D5
-48B0A,-48AF5,-48CB5
-606B2,-6069D,-606B1
-48A4A,-48C60,-48CB1
-604E8,-60614,-605B3
-48BEC,-48B6E,-48D62
-606DD,-6059D,-60551
-48AE7,-48BC3,-48AA4
-604D1,-604B8,-6040E
-48C9A,-48AE5,-48B2E
-607C1,-60613,-60564
-488F8,-48927,-488EA
-60685,-60844,-603BA
-48C51,-48AED,-48B45
-604B3,-605EE,-60419
-48D08,-48A83,-48999
-6056C,-6049B,-60594
-48A9F,-48A61,-489CA
-603E7,-60519,-603FD
-48A43,-48B24,-48B7A
-603EB,-6045C,-60393
-48C83,-48AA8,-48A9C
-6034C,-6056A,-60588
-48B01,-48B0D,-4895E
-604DC,-60707,-6046B
-48A9D,-48A3A,-48B72
-60695,-60533,-606BB
-488B6,-48A70,-48AA8
-602DC,-6038D,-60223
-4878F,-488DE,-48A0D
-60409,-60567,-604C9
-4896D,-488D7,-48728
-60182,-60393,-6024E
-48944,-48820,-488C5
-60154,-603D5,-60452
-48958,-4882C,-48853
-60472,-60296,-6031D
-4896B,-48A6D,-48651
-603E3,-602A9,-6028A
-48816,-487DB,-48692
-601CE,-60227,-603A8
-48988,-489CF,-4882D
-6032E,-60290,-602BB
-48843,-48607,-487C3
-604AC,-60340,-60709
-4882F,-489CC,-48932
-602BF,-601A6,-603A1
-48914,-488A9,-488A0
-603BE,-602A4,-60569
-48743,-486CD,-4872D
-6035E,-60517,-603D7
-48863,-487FD,-4873E
-604BB,-60446,-60459
-48879,-487E9,-489F4
-603C3,-6011D,-601CB
-488F1,-488BD,-486FC
-60159,-602EF,-60073
-48637,-486A3,-48589
-5FFA2,-600CE,-600E9
-487C4,-488AB,-48840
-606DE,-60526,-604C3
-488F1,-48993,-487AD
-602EF,-60201,-60392
-48B4B,-4887A,-48A7F
-603EB,-602B1,-60480
-48A0F,-487FA,-488BB
-6023D,-6036B,-604F8
-48943,-48831,-48912
-60377,-6028D,-602B9
-488C6,-48956,-48871
-60464,-603B5,-6033F
-489DC,-4865F,-488DF
-6022E,-60329,-602FD
-48933,-488C1,-48868
-60122,-60365,-60259
-48AC7,-48810,-4883A
-60523,-60527,-60445
-48865,-48952,-488E9
-60536,-602DD,-60258
-48A04,-48904,-488C5
-603F7,-602D0,-602DB
-4893F,-489BA,-487F3
-60478,-60212,-602A5
-488BC,-488BB,-4867D
-60216,-603D9,-602B7
-487D0,-487AE,-487F0
-60490,-6019E,-603E0
-489E2,-487E6,-486FC
-6034E,-6029B,-604B3
-487A7,-488A0,-48793
-603E6,-60271,-60272
-4915A,-4905B,-490D7
-5FE5E,-5FE0A,-5FE45
-4847B,-48329,-48361
-5FEFA,-5FF1D,-5FF18
-48344,-48388,-482AF
-5FD80,-60000,-5FE33
-483E8,-48318,-4837A
-5FFA0,-5FE83,-5FF9F
-483FC,-484A0,-4840F
-6000E,-5FFF6,-5FE5D
-486EC,-48559,-4835F
-6006C,-60002,-5FE7F
-4830B,-4840E,-484D7
-5FCFA,-5FF1A,-5FEF5
-48417,-48359,-48459
-5FE94,-5FD71,-5FEFE
-483B8,-48221,-48293
-5FD75,-5FD55,-5FE9B
-482C6,-48204,-48415
-5FE95,-5FD9C,-5FE18
-483BE,-4862B,-4833B
-5FC5F,-5FF4F,-5FDEF
-484EC,-4834F,-4821A
-5FD9B,-5FE63,-5FCA5
-4822D,-480D4,-482B8
-5FC18,-5FB23,-5FF2C
-48439,-481F3,-4835B
-5FDD1,-5FCED,-5FBE7
-48226,-48205,-4823E
-5FB80,-5FA3D,-5FC5D
-4810B,-48230,-4821A
-5FC4E,-5FB40,-5FB57
-485D9,-4856D,-482C9
-5FD63,-5FE93,-5FDF8
-482F7,-482E2,-48411
-5FD9F,-5FF5F,-5FD51
-481E5,-4821B,-4837E
-5FF2D,-5FD89,-5FD2B
-4854E,-48502,-48442
-60077,-600AA,-5FF2C
-483DD,-484A3,-48363
-5FF02,-5FE19,-60044
-48217,-4832D,-485AE
-5FC66,-6000D,-5FFAA
-483FA,-483BE,-4843D
-5FE10,-5FEE1,-5FE01
-48300,-48484,-48522
-5FE0F,-5FE9B,-5FD0A
-48287,-4837E,-4816D
-5FF45,-5FDE4,-5FE58
-483B6,-483A6,-48484
-5FE09,-5FE2F,-5FE48
-48376,-48278,-484B6
-5FBFF,-5FDAD,-5FC86
-4847F,-4840F,-48327
-5FDC4,-5FDE3,-5FC87
-48241,-4843D,-48259
-5FC2B,-5FC03,-5FC28
-48286,-48221,-483C9
-5FA94,-5FCD8,-5FD3C
-4803A,-4810B,-48112
-5FC11,-5FC92,-5FD01
-48325,-481B3,-482B4
-5F90C,-5FBD4,-5FBFC
-47F93,-47F01,-47E1F
-5F90B,-5FB3A,-5FA75
-47EDA,-47FCC,-48084
-5F9C8,-5FA58,-5F988
-48018,-47FB3,-47C9D
-5F90A,-5FA05,-5F977
-47EFC,-4811A,-47F2E
-5F8FD,-5FB21,-5F983
-48039,-47DEA,-47F16
-5F85F,-5F9B7,-5FAD3
-48039,-47FA4,-48064
-5F8D0,-5FA24,-5F89E
-47F65,-48081,-47F69
-5F96E,-5F7A8,-5F8CF
-47EA3,-47E34,-47EE7
-5F631,-5F601,-5F800
-47CA8,-47AED,-47CE5
-5F882,-5F82E,-5F645
-48143,-47EF0,-47DB0
-5F95C,-5F80C,-5F81A
-47F37,-47F3E,-47F5F
-5F916,-5F787,-5F9BC
-47EB4,-47EBB,-47D3E
-5F7F7,-5F8AE,-5F926
-47FA7,-47D0D,-47DCC
-5F885,-5F8FB,-5F8AB
-47F74,-47EB2,-47F4B
-5FAC2,-5FACF,-5F934
-47EBA,-47E62,-47EAA
-5F773,-5F8FD,-5F977
-47D02,-47E89,-47F09
-5F9F0,-5F877,-5F964
-4800E,-4813C,-47DDA
-5FABE,-5FB07,-5FB29
-481E2,-48247,-47FFE
-5FC6B,-5F9AB,-5FB31
-47F59,-4812B,-4820A
-5FC73,-5FA18,-5F96D
-47EA5,-48044,-47E37
-5F995,-5FA7C,-5FD82
-47F84,-47FC8,-482EA
-5F92C,-5FA0B,-5FA5D
-48130,-48089,-48226
-5FBC4,-5FB3C,-5F908
-47FB8,-4816C,-48187
-5F865,-5F8C8,-5F98A
-48001,-47F98,-47DB5
-5F964,-5FC75,-5F9B4
-47D5A,-47FEA,-47DF2
-5F970,-5FBD9,-5FA6E
-4805B,-480C4,-4807B
-5FA76,-5F955,-5FB43
-480AB,-4805C,-48065
-5F8C1,-5F9C4,-5FB65
-48189,-482B1,-48498
-5FCC7,-5FC1F,-5FDC3
-48065,-482BD,-48035
-5FB7D,-5FA8F,-5FB16
-48040,-48067,-47FE7
-5FA7C,-5FA30,-5F967
-47FBB,-4811B,-480A9
-5FA6F,-5F9C7,-5FABA
-48124,-481AA,-480BF
-5F9DD,-5FB21,-5FA64
-4914F,-48FAA,-49176
-5FB27,-5FB0E,-5FC3E
-48175,-48254,-481B0
-5FCFE,-5FD2A,-5FED5
-47FFE,-481BF,-483A8
-5FBCC,-5FB05,-5FC84
-48187,-481A4,-480AE
-5FBA4,-5FC89,-5FA3A
-47F5C,-480AD,-48095
-5FAA0,-5FAFE,-5FB0E
-48111,-4820B,-4812E
-5FA82,-5FBF5,-5FA8D
-48055,-47ECE,-48132
-5FAD6,-5FA85,-5FC0B
-4808C,-48066,-47F59
-5F987,-5F914,-5FA92
-47EDF,-48038,-47FE6
-5FA2D,-5FB91,-5FCF0
-480CA,-4810A,-481DD
-5FA9B,-5F968,-5FCD4
-47F4E,-47EEC,-47F99
-5F9EB,-5FA45,-5FB6C
-48125,-48068,-47E99
-5FB29,-5F908,-5FBA2
-47E44,-4803C,-4816D
-5FB4A,-5F9E0,-5FA80
-47F9F,-47EFA,-47EF3
-5F96B,-5F939,-5F95D
-47F63,-47E7B,-47D85
-5FA9C,-5FA22,-5F856
-48030,-47F0D,-47FB4
-5FC65,-5FDC5,-5FC6C
-4812B,-48216,-4833E
-5FB6E,-5FC16,-5FC9E
-48206,-482B5,-48302
-5FC3C,-5FF0F,-5FCA2
-482F7,-481C1,-481CB
-5FCD4,-5FB89,-5FC63
-4815E,-481D7,-4816A
-5F9D3,-5F9C7,-5FADA
-480BD,-48110,-480B3
-5FA63,-5F98C,-5FC6F
-47F2A,-47FBA,-47F38
-5FC6B,-5FBDE,-5FB14
-47F45,-47F8F,-47FD4
-5FCBD,-5FA13,-5FA9B
-48057,-4816E,-47E4C
-5FAF1,-5F7A7,-5F87E
-47E43,-47DAC,-47E3E
-5FB67,-5FB43,-5FA7E
-48014,-48079,-47F92
-5FAAC,-5F8BF,-5FABD
-47F2D,-47D93,-47E4F
-5FA36,-5FBD3,-5FC87
-4808F,-48024,-47FEA
-5F9A1,-5FB8D,-5FB59
-4815E,-4812E,-48087
-5FD3C,-5FC0C,-5FB8E
-47ED2,-47F1E,-47F9F
-5F97F,-5FB1E,-5FA43
-48187,-47E39,-47E83
-5FA0E,-5F7EB,-5F9EA
-47F0A,-47E92,-47EB8
