{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-69527,-6947C,-6944A
-51B4B,-51932,-51A51
-694ED,-695EA,-69597
-51A6B,-51908,-5194E
-693BD,-69368,-69515
-51A0C,-51A7C,-5191C
-6922F,-69462,-694AF
-51A96,-51A3A,-51AC7
-692D2,-69224,-6944F
-51B96,-518DC,-51C4D
-69405,-695C3,-693C2
-51B38,-5191A,-51AE9
-692EA,-694C9,-69562
-51987,-51A51,-51A44
-6941B,-6951D,-6963D
-518CF,-519A1,-51804
-6946B,-6946C,-6949F
-51AC9,-51921,-51A98
-6932B,-6925F,-69333
-518B4,-5181D,-51757
-6927D,-691AF,-692CF
-51830,-518FF,-518A2
-69469,-694F9,-69247
-51713,-518C5,-5179C
-69439,-693B3,-6948A
-51B64,-5190B,-51C8E
-692F7,-6935F,-693A7
-5186F,-5163B,-5181A
-6936C,-6920D,-693DB
-516E5,-5187F,-516D2
-6916D,-69087,-691E2
-51A1A,-51867,-51808
-69249,-6949A,-6949D
-51A4F,-51A3F,-51ABF
-6952E,-6958A,-694D0
-51B6E,-519B5,-51A09
-694D1,-694E7,-69444
-5190D,-51ABD,-51846
-69384,-6926C,-6946E
-5188F,-51642,-51969
-69349,-69288,-6934E
-519CA,-519FD,-51A70
-69292,-69380,-6943C
-51A46,-5192C,-51A2D
-694B6,-6944F,-69265
-51BD7,-519B5,-51720
-6945A,-692D5,-6939C
-51ADF,-518B6,-518AC
-693D0,-694F6,-693E5
-51B3C,-51A08,-51A54
-6950E,-69649,-69374
-51AAA,-518C3,-518F0
-692FB,-692F6,-69444
-51A41,-5184D,-51A4F
-69371,-69449,-69542
-51929,-518DE,-51B57
-69404,-6936F,-693F4
-51915,-5190C,-51A76
-693D1,-6937E,-694DC
-51A30,-518F8,-516AE
-6933B,-6932E,-692ED
-5183C,-5191A,-51973
-69300,-693B1,-691DF
-516FD,-51680,-516D9
-6914F,-691BC,-69223
-517BB,-516C5,-51791
-691B2,-691B0,-6920E
-5188E,-51719,-516AB
-68F93,-6928E,-691EA
-51628,-51892,-51580
-6905A,-69207,-68F72
-515F8,-515AB,-515DC
-691A5,-69072,-6927F
-516FA,-51758,-515C6
-69131,-69169,-691C5
-517A3,-51936,-516AD
-69137,-69056,-691B3
-517CB,-51518,-51560
-690FE,-69221,-6923B
-516C9,-51748,-51631
-69197,-6923C,-6950D
-51943,-517CD,-51725
-69329,-691C1,-690CF
-51755,-517BD,-517E6
-6915D,-69094,-69196
-517A9,-51799,-51627
-690BC,-68FD2,-69087
-51687,-516A6,-51626
-6909A,-690AC,-6905E
-5162F,-51617,-515D6
-690C8,-69154,-6922B
-516B5,-51614,-51758
-69126,-6906C,-68F9B
-518CF,-518DC,-5171E
-690A8,-69149,-69094
-51970,-518E4,-5169B
-69273,-69105,-691FB
-5180C,-517E4,-51842
-69188,-69096,-69267
-519BC,-51917,-5181F
-692C3,-69325,-6935C
-51897,-51742,-51972
-69383,-69331,-690BB
-51683,-516D2,-5164F
-69198,-690C7,-69243
-51700,-51776,-517BC
-691D9,-69130,-693D6
-514E4,-51669,-5170E
-691A4,-69119,-68F39
-51707,-51733,-5163E
-68F97,-69169,-69032
-51758,-51559,-514AF
