{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-70648,-70728,-70818
-58CC5,-58AF1,-58B8A
-703F0,-704AB,-70451
-58A60,-5894A,-58910
-706DD,-7073D,-70403
-58AC2,-58B44,-58AAD
-70617,-704E7,-706FB
-58B51,-58CE4,-58AA9
-704C8,-704F7,-705A1
-58B87,-5897A,-58B91
-70497,-70738,-705AF
-58ADA,-58C11,-589F9
-7062E,-70660,-7080C
-58D09,-58B22,-58C43
-70661,-704EF,-70691
-58AC3,-58B55,-58C9A
-70687,-70792,-706C4
-58CCE,-58C00,-58CBD
-705F5,-706B8,-706AB
-58C1A,-58C23,-58AD7
-7061F,-705D5,-70431
-58A4E,-58B97,-58A4A
-704C5,-7057E,-704D7
-58A60,-58A3D,-588C8
-70407,-70334,-70431
-58B9F,-58962,-58B57
-705F1,-706B4,-705B5
-588E1,-58B6C,-5880C
-7042F,-705A5,-7036C
-58A3D,-58A6E,-5899A
-703F8,-70325,-70544
-58997,-58A34,-58AE6
-70453,-70514,-7064B
-58AEF,-58A55,-58CF4
-70830,-707AE,-70714
-58AAF,-58A13,-58B45
-70531,-70500,-704D0
-58C63,-58AE9,-58ABD
-704EC,-706E1,-704EE
-58AE1,-58823,-588A8
-7040E,-70584,-70427
-58A3B,-58A36,-58BEF
-706D8,-70571,-704AB
-58BB2,-589FC,-58A55
-70719,-705D4,-70394
-588E5,-58938,-5870E
-703BB,-70339,-70559
-58A61,-589D8,-58AD8
-704E7,-70521,-705C0
-58BF7,-58A7B,-58C01
-705EB,-70564,-70756
-58D21,-58A7D,-58C6F
-70510,-704C5,-70483
-58C39,-58AD5,-58AB2
-7060D,-70546,-7051A
-58AAB,-58901,-58BAB
-7057B,-704BE,-703E3
-589D9,-588E4,-58A50
-70664,-706D3,-7040E
-58A12,-58A94,-58C90
-706D3,-7052F,-70399
-589D9,-58A74,-58B31
-705E6,-70438,-70487
-5895B,-5889E,-5898F
-7023E,-70532,-7035A
-5876B,-5887F,-58859
-7031D,-70424,-703B6
-5877D,-58830,-588DA
-70275,-702D9,-702A8
-58949,-5891A,-58960
-70433,-7015A,-70430
-58924,-588A1,-588FA
-704DD,-70318,-7032E
-589D7,-58A69,-5860D
-702A7,-703B7,-70241
-58804,-58A64,-58821
-70418,-703AF,-70222
-58884,-58777,-585B5
-70152,-701C8,-70357
-58749,-58893,-587FB
-702CA,-703E2,-705D9
-58A1C,-587B7,-588A8
-703D6,-700A4,-70231
-5877E,-58882,-58775
-70290,-7015C,-702B0
-588FD,-5887F,-58879
-7029B,-703CC,-702EE
-58913,-5854B,-58616
-702AF,-70256,-7034E
-588BE,-587EC,-585D0
-70063,-701EC,-70378
-58762,-58662,-58695
-701AF,-70072,-701AE
-5894F,-58867,-587F6
-700CB,-70291,-700A3
-58A14,-587F3,-588F3
-701D6,-702FC,-70337
-58995,-587EA,-58A48
-703CA,-703B4,-702D3
-589D3,-58927,-587C0
-7025C,-70346,-70501
-588B0,-58850,-58962
-703B3,-70255,-701E3
-588E3,-586DD,-5863D
-7025B,-702EB,-70199
-5884C,-58798,-5884A
-70270,-7015A,-70246
-586BC,-586E0,-586EF
-701DC,-703B1,-702F0
-58769,-586EE,-5870D
-7033F,-702D4,-70099
-587A6,-5890D,-586D8
-7038F,-70366,-7023C
-588C3,-588E5,-587A0
-70207,-70420,-702C4
-58845,-58590,-586E1
-70314,-7027A,-70098
-586B2,-5853F,-5871B
-70288,-70384,-70387
-587E7,-58694,-5886F
-7041B,-702C2,-70355
-5880D,-58779,-5878F
-701D6,-70200,-6FF38
-5851F,-5887A,-5876E
-6FFDC,-700A6,-7037A
-58814,-58724,-586C9
-70203,-701AF,-7012E
-59280,-5916A,-592D1
-6FE04,-6FDB3,-6FD4B
-5827C,-583E2,-58438
-6FDBE,-6FE28,-6FE0F
-582EE,-5831A,-580F2
-6FD6B,-6FDE8,-6FD66
-583A0,-582F7,-5831A
-6FE82,-6FD67,-6FEAF
-583B1,-583D5,-5822D
-6FD2C,-6FE79,-6FF15
-583BD,-58507,-5842B
-6FD73,-6FBF2,-6FD48
-5843F,-581EE,-5800B
-6FDFF,-6FD70,-6FDD7
-58324,-58319,-582E1
-6FE90,-6FDEB,-6FCEA
-58211,-5819C,-5830C
-6FBFD,-6FD8E,-6FD03
-583FA,-5834D,-584A3
-6FD87,-6FF23,-6FED6
-583F6,-582A0,-5827F
-6FE59,-6FF18,-6FDBE
-58222,-5831D,-583A3
-6FD4B,-6FE95,-6FBF0
-58328,-581CA,-5818D
-6FE71,-6FC10,-6FDBE
-5821A,-58320,-58337
-6FE30,-6FDFF,-6FD90
-58248,-580E1,-5824C
-6FB10,-6FC7D,-6FC0C
-58150,-58358,-58344
-6FC67,-6FC94,-6FE8C
-58369,-583AC,-58366
-6FDF9,-6FE43,-6FDB7
-585D2,-58422,-58531
-6FD94,-6FEAF,-6FD8C
-58331,-58433,-58503
-70078,-6FEB1,-6FD0C
-58520,-581FD,-581BB
-6FD45,-70079,-6FE9F
-582BA,-580F8,-58320
-6FE6E,-6FE39,-6FCE0
-583FF,-585FE,-583BC
-6FE5F,-6FF29,-6FD71
-58379,-582D8,-58307
-6FF11,-6FD68,-6FC0B
-5821D,-584B1,-583A4
-6FCEC,-6FD7B,-6FD74
-581A3,-58125,-58210
-6FC89,-6FCCE,-6FD7E
-583C3,-582A6,-582A5
-6FC43,-6FCB9,-6FBCC
-58270,-5826C,-582E2
-6FC34,-6FC01,-6FC07
-58117,-581C4,-5826C
-6FD44,-6FD65,-6FD11
-58125,-58195,-5847B
-6FD5C,-6FCAD,-6FC85
-581E6,-582AC,-58147
-6FB92,-6FCED,-6FC8E
-5815E,-58199,-581FD
-6FD31,-6FAE8,-6FC1D
-58077,-58111,-581B5
-6FB38,-6FD20,-6FD0D
-57F3C,-57F23,-57F4B
-6F912,-6FAB5,-6FADE
-57FE0,-58097,-58118
-6FD36,-6FBA8,-6F8C1
-58095,-57F0C,-58160
-6FA6F,-6FBA8,-6FC11
-582C9,-57FF6,-57F57
-6F9A5,-6FADC,-6FBF9
-5801C,-57E7F,-57E81
-6FA71,-6F9C0,-6F96D
-57E3E,-57F09,-5807F
-6FA56,-6FB4A,-6FA4F
-57FB5,-57EAD,-57EF6
-6F8BC,-6F898,-6FAAC
-57FB9,-57E9C,-57F46
-6F7F8,-6FAD5,-6F960
-57E43,-57DFB,-57DD4
-6F8D7,-6FAA8,-6FAB2
-57EAE,-57F9C,-58110
-6F92F,-6F9C6,-6FAC9
