{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-76E7C,-76F2F,-76FF2
-5F660,-5F61F,-5F605
-76F02,-7708D,-76F81
-5F402,-5F57D,-5F5EC
-7706C,-76FF3,-7736A
-5F6F7,-5F4E0,-5F504
-770E7,-7701C,-76F3A
-5F651,-5F41F,-5F4E8
-76D4D,-76F3E,-770C9
-5F5A5,-5F330,-5F366
-76B98,-76DB8,-76F27
-5F481,-5F3D6,-5F33F
-76C59,-76FAE,-76E40
-5F384,-5F4D5,-5F48B
-76CD9,-76E5F,-77040
-5F410,-5F384,-5F3FA
-76E0E,-76DB0,-76CB6
-5F511,-5F4C6,-5F639
-76F8A,-76F50,-76DB2
-5F4B6,-5F3F5,-5F4CB
-76F6B,-76E2D,-77064
-5F2EE,-5F34B,-5F3EF
-76F2C,-77093,-76BC1
-5F3F2,-5F278,-5F62F
-76C9F,-76D48,-76D0D
-5F444,-5F35C,-5F30C
-76ECB,-76E57,-76F2E
-5F3A1,-5F2B7,-5F2D1
-76D2F,-76D2D,-76D8C
-5F3C8,-5F4B6,-5F38B
-76F57,-76D75,-76FE3
-5F477,-5F57C,-5F486
-76F35,-76F86,-76E8D
-5F5EF,-5F4D9,-5F5A3
-76F2D,-76E8E,-770AC
-5F602,-5F6D7,-5F3E1
-76F37,-76DFD,-76F6E
-5F6AA,-5F51E,-5F4CE
-76DD8,-76E08,-76D2D
-5F407,-5F43B,-5F421
-76D0F,-76E92,-76EAC
-5F4CA,-5F437,-5F3EE
-76E1E,-76CB2,-76D33
-5F429,-5F4EC,-5F334
-76E6B,-76FA0,-76FEC
-5F6C9,-5F4F0,-5F2DD
-76E36,-76EC8,-76D8E
-5F44A,-5F2DF,-5F428
-76E99,-76FCE,-76D4C
-5F47B,-5F485,-5F614
-76ED7,-76F3B,-76FAD
-5F405,-5F4F7,-5F514
-76F1E,-77070,-76F70
-5F4FB,-5F3B4,-5F6A1
-76F46,-770BE,-7704E
-5F686,-5F4C8,-5F4A2
-76FFA,-77034,-76EE5
-5F45E,-5F54D,-5F4E8
-76FD5,-77092,-76E47
-5F35A,-5F598,-5F37C
-76EC6,-76E33,-76E9A
-5F3FF,-5F35B,-5F3C4
-76DC3,-77001,-77002
-5F17D,-5F428,-5F1B0
