{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7E055,-7DF08,-7E253
-66619,-664BA,-66530
-7E07E,-7E19C,-7DF35
-664DD,-6636F,-664DE
-7DE7D,-7DCCF,-7DF3E
-66346,-66481,-663C6
-7DEE8,-7DEDA,-7DF60
-663BD,-6653D,-66423
-7E073,-7DE76,-7DF35
-664E6,-6642D,-6655C
-7DF12,-7DFF0,-7DFC5
-664A3,-66494,-66450
-7DFB6,-7DF0A,-7DC53
-664F1,-6655E,-662D3
-7DEBB,-7DE55,-7DE58
-66053,-6646E,-66479
-7DEBE,-7DEDE,-7DE2B
-6642A,-665E4,-664FD
-7DC7B,-7DE7A,-7DDAD
-6644E,-66501,-66316
-7DE59,-7DF35,-7E031
-6641F,-6636B,-6664B
-7DF1B,-7DDF7,-7DF83
-66253,-66235,-66458
-7DE8E,-7DF40,-7DCC5
-663A7,-6648E,-663BA
-7DEAC,-7DDA2,-7DD8D
-66376,-66314,-66343
-7DE06,-7DF49,-7DD90
-663C1,-66416,-665F5
-7DD67,-7DFE6,-7DDA2
-663A1,-66473,-6641F
-7E029,-7DF4F,-7DEAF
-665E4,-665CA,-66524
-7DF11,-7DFFD,-7DFCD
-6653D,-66504,-6664C
-7E120,-7DF2A,-7DFD6
-6659C,-66231,-663E4
-7DF33,-7DFD4,-7DDD2
-664EC,-66595,-665D3
-7DF02,-7DE99,-7DE41
-6628F,-662AB,-66434
-7DCF0,-7DE07,-7DDDC
-6644D,-66333,-6634E
-7DF56,-7DD4A,-7DF97
-6639C,-662D5,-66552
-7DEB3,-7DE1A,-7E048
-663C6,-66205,-662B2
-7DEF8,-7E032,-7E022
-66504,-6654E,-663F9
-7DE9E,-7DF8F,-7DF4A
-662D0,-664AB,-66224
-7DF25,-7DEB5,-7DFE8
-662EF,-66395,-662AA
-7DEFF,-7DF62,-7DF54
-6656A,-6642A,-6641A
-7DFC5,-7DEA0,-7DE68
-662B2,-663AF,-66333
-7DE08,-7DE70,-7DE30
-6644B,-661C5,-6629F
-7DDA6,-7DE89,-7DE37
-6635B,-6619F,-663FD
-7DE3F,-7DD6A,-7DD68
-66272,-6627A,-66065
-7DBA4,-7DB78,-7DA46
-661E2,-66097,-6631A
-7DCE6,-7DC19,-7DC13
-661D5,-66037,-65FDD
-7DB24,-7DBDF,-7DB81
-66081,-66131,-660FA
-7DA7C,-7D9EF,-7DB4B
-6607D,-660AA,-660DD
-7DA28,-7DC06,-7DB6F
-661B0,-6601D,-66111
-7DBAC,-7DB68,-7DBE0
-66415,-660AE,-6611F
-7DA46,-7DAC5,-7D9AB
-66154,-65FDC,-65F71
-7DA2A,-7DB44,-7D920
-66016,-65EC0,-65F53
-7DBF7,-7DB49,-7DCE2
-661F9,-66059,-661B6
-7DBAA,-7DCE8,-7DC5B
-662D4,-66232,-66067
-7DBD8,-7DC3C,-7DB56
-66176,-662E3,-6624B
-7DC80,-7DBF7,-7DC15
-66252,-662CF,-66271
-7DDA2,-7DCA2,-7DD12
-6617E,-660F6,-66331
-7DB37,-7DBB7,-7DBA2
-66080,-66060,-65FF9
-7DC49,-7DA5B,-7DA20
-6622E,-66166,-661BD
-7DD49,-7DBF3,-7DB25
-661F5,-66339,-662DF
-7DDEC,-7DDD6,-7DD2E
-66230,-66285,-6628A
-7DD58,-7DC41,-7DD6A
-662BE,-6626E,-6637E
-7DCA9,-7DB5C,-7DBCA
-6640F,-664A6,-66218
-7DC23,-7E07B,-7DD51
-6629E,-661D0,-66350
-7DC52,-7DD06,-7DD81
-66249,-661C6,-661AD
-7DD2F,-7DBDE,-7DB88
-661EA,-662CE,-66161
-7DDD5,-7DD5A,-7DB56
-661B7,-66214,-66150
-7DB25,-7DAC8,-7DAF4
-6614A,-6600A,-65F38
-7DC29,-7DDEA,-7DDAD
-661B4,-661B1,-6629B
-7DBD1,-7DB66,-7DC86
-661D5,-6620A,-6621B
-7DB1D,-7D99C,-7DA63
-66125,-66228,-661C6
-7D9CE,-7DB9D,-7DBFD
-65F61,-6608B,-66226
-7DB9E,-7DB11,-7DBCD
-66166,-66161,-66056
-7D926,-7DA20,-7DA4A
-65EB4,-65F61,-6600A
-7DB29,-7D972,-7DAE6
-65F47,-660DC,-65F49
-7DBA4,-7DAFE,-7D9C2
-66B97,-66B14,-66A26
-7D76E,-7D822,-7D685
-65D5B,-65F7E,-65B0B
-7D850,-7D967,-7D90D
-65F66,-65CB0,-65D52
-7D7B2,-7D82F,-7D7A0
-65E38,-65CAF,-65D00
-7D700,-7D541,-7D65E
-65CB3,-65C3E,-65C38
-7D65F,-7D681,-7D6C2
-65DEC,-65D76,-65A40
-7D58B,-7D614,-7D655
-65BD5,-65BF5,-65A35
-7D6A7,-7D63C,-7D668
-65B75,-65C46,-65B74
-7D530,-7D646,-7D648
-65A6B,-65AC5,-65B8E
-7D800,-7D6A6,-7D71F
-65CB0,-65BC5,-65C54
-7D729,-7D6D3,-7D623
-65C37,-65C8E,-65B55
-7D705,-7D672,-7D6B5
-65B68,-65961,-65ABD
-7D677,-7D65A,-7D55D
-65C35,-65C51,-65A02
-7D4EF,-7D477,-7D4D6
-65A2F,-65A88,-65B67
-7D6C9,-7D504,-7D6DF
-65B9E,-65C7A,-65B31
-7D432,-7D42E,-7D526
-65C52,-659D7,-65A90
-7D442,-7D5FC,-7D527
-65CC7,-65CA6,-65C8E
-7D6F7,-7D76A,-7D879
-65F5D,-65C31,-65CD7
-7D781,-7D743,-7D7E5
-65C56,-65D36,-65AB1
-7D9A0,-7D6C6,-7D7AA
-65CCD,-65ACC,-65A82
-7D53F,-7D4E4,-7D52C
-65CE2,-65B26,-65B5C
-7D769,-7D745,-7D71D
-65BFF,-65B4D,-65C0C
-7D6B0,-7D778,-7D70B
-65B1B,-65CD3,-65B41
-7D776,-7D49B,-7D542
-65C1C,-65AD0,-65CEB
-7D5AB,-7D542,-7D60C
-65B84,-65B6C,-658ED
-7D727,-7D7B9,-7D760
-65D8D,-65C9E,-65D9D
-7D779,-7D6AB,-7D6ED
-65AF1,-65A8A,-65CE5
-7D4DD,-7D72E,-7D541
-65B36,-65BFA,-65A9F
-7D69E,-7D4F8,-7D5FD
-65C2F,-65AB1,-65CAF
-7D5F9,-7D721,-7D675
-65C3A,-65BFA,-65BBC
-7D589,-7D5F3,-7D3F1
-65A7A,-65979,-65B12
-7D3E6,-7D370,-7D596
-65A71,-65A53,-65A08
-7D390,-7D68E,-7D527
