{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-84FE4,-84DD7,-85107
-6D661,-6D630,-6D469
-85120,-85052,-84EC2
-6D5C2,-6D68A,-6D7A8
-84F90,-850A8,-85139
-6D4A1,-6D632,-6D53A
-84F08,-85005,-84EB8
-6D5E7,-6D405,-6D52B
-84E7D,-84F05,-84DE4
-6D3A6,-6D3CA,-6D347
-84EFE,-84D4A,-84F9A
-6D549,-6D53C,-6D690
-85072,-84E04,-84E87
-6D335,-6D47F,-6D339
-84F4E,-84FAB,-84C6F
-6D2BE,-6D285,-6D3E1
-84F18,-84F25,-84F9E
-6D4A8,-6D531,-6D474
-84F46,-84E7B,-84F78
-6D543,-6D3C5,-6D363
-84ECD,-84EB3,-84E1D
-6D2CF,-6D5B2,-6D2FC
-84EC7,-84E4B,-84F0B
-6D35D,-6D343,-6D41E
-84E03,-84DF4,-84F27
-6D2E0,-6D521,-6D360
-84D91,-84DA0,-84D70
-6D395,-6D2FA,-6D3C8
-84EF6,-84E9E,-84DD4
-6D2FA,-6D2D9,-6D242
-84F42,-84E9C,-84E41
-6D60E,-6D492,-6D55C
-84EFA,-84F7B,-84F5C
-6D78C,-6D5A5,-6D4CB
-84E9A,-84FA3,-850B4
-6D4EC,-6D66E,-6D595
-8529D,-84FBA,-84F28
-6D5F9,-6D4B6,-6D4B5
-84F05,-84F94,-85018
-6D4D3,-6D424,-6D410
-84F9C,-84FDC,-84E51
-6D42F,-6D3D4,-6D4FE
-84F7B,-85045,-84EF6
-6D456,-6D49F,-6D3BB
-84FD3,-84E45,-84D5B
-6D40E,-6D42C,-6D3BA
-84FC1,-84DFB,-84CF7
-6D3EF,-6D2DE,-6D2B0
-84F1A,-84E42,-84D41
-6D34A,-6D3B5,-6D610
-84CE1,-84DBA,-84B93
-6D444,-6D316,-6D3F1
-84DEF,-84D5A,-85085
-6D3AE,-6D48C,-6D2F3
-84DE9,-84E04,-84E72
-6D1A1,-6D2ED,-6D116
-84D6D,-84D9D,-84D69
-6D2F4,-6D4F8,-6D0A9
-84C6F,-84C2E,-84D09
-6D2D8,-6D41B,-6D36C
-84E2E,-84D48,-84F95
-6D2CA,-6D3C3,-6D363
-84FED,-84E4E,-84E09
-6D13B,-6D32F,-6D06C
-84D47,-84B96,-84D76
-6D03D,-6CF8F,-6D12F
-84BD1,-84C3E,-84C53
-6D1C5,-6CFE5,-6D03D
-84BAE,-84D73,-84B65
-6D132,-6D08E,-6D18A
-84CCF,-84C24,-84D11
-6D27C,-6D068,-6D13B
-84BB7,-84C3B,-84C0D
-6CFAF,-6CF79,-6D02D
-84B5D,-84CB7,-84B96
-6D09F,-6D10B,-6D1AD
-84AD1,-84B63,-84B6A
-6D28B,-6CEF4,-6CFDC
-84AE6,-84A9F,-84C29
-6D009,-6D021,-6CE81
-84BCF,-84B8C,-84B1C
-6D120,-6D079,-6D218
-84AB3,-84B23,-84B94
-6D25C,-6D179,-6D0FB
-84AB2,-84AD2,-84AC7
-6D1DD,-6D0C0,-6CED5
-84BA6,-84C4E,-84A0B
-6D06B,-6D007,-6D16F
-84C3F,-84A18,-84A0F
-6D0EE,-6CF6D,-6CF75
-84965,-84B9F,-84A3E
-6CF18,-6CFF2,-6CD30
-84B04,-84A53,-848E3
-6CF31,-6D061,-6D0E5
-84AD4,-84A8F,-84A5F
-6D0B1,-6D0FA,-6D1D5
-84BA4,-84B7E,-84B7B
-6D19E,-6D138,-6D10D
-84B82,-84AE3,-84B78
-6D20C,-6CF0B,-6D0E1
-84C57,-84BA6,-84B73
-6CEBF,-6CFC0,-6CFD8
-84C35,-84CDE,-84B1D
-6D03B,-6CFAF,-6D1EC
-849E4,-84C65,-84C75
-6D255,-6D0CD,-6D253
-84B34,-84C23,-84B8E
-6D18A,-6CEEF,-6CFE5
-848B4,-84B56,-847F6
-6CFCB,-6D011,-6CE9D
-84A92,-84AED,-84BB0
-6D011,-6CE2A,-6CFB0
-84B9D,-84AE4,-84AEC
-6CF3B,-6D1D8,-6D079
-84AF9,-84B33,-84A79
-6D09F,-6D032,-6CF4D
-84A48,-84C7A,-84A27
-6CE8F,-6CEC1,-6CFFA
-84AE7,-84C48,-849D2
-6CFD0,-6CDCE,-6CF32
-847FA,-84B79,-84AF5
-6D182,-6CFA7,-6CFB7
-84A25,-84B73,-849CE
-6CE4D,-6CE57,-6D038
-84AEB,-849F2,-84A4A
-6D094,-6D0C0,-6CE61
-849F4,-84853,-84A36
-6D986,-6D9B8,-6D8D5
-848F9,-848AB,-8471B
-6CB43,-6CD57,-6CC26
-84766,-8468B,-84995
-6CD87,-6CDA4,-6CB49
-84797,-846D6,-8488B
-6CCBE,-6CB3D,-6CC25
-84697,-844FD,-846FD
-6CD3A,-6C98F,-6CC46
-84770,-845D4,-846A8
-6CDE1,-6CE2F,-6CA48
-84534,-845D0,-84620
-6CCC7,-6CBAE,-6CB91
-84704,-845FA,-845D7
-6CCEC,-6CCCB,-6CA9D
-845D1,-84602,-84503
-6CAF2,-6CC0C,-6CCE9
-847B3,-847B4,-84785
-6CBCD,-6CD31,-6C96D
-84803,-846C2,-848EF
-6CC03,-6CAB7,-6CA9E
