{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8BF76,-8BF34,-8BFDF
-744E4,-74413,-7444C
-8BD9F,-8BFC7,-8BDA5
-74224,-74460,-7453B
-8BFB4,-8BE0A,-8BFD7
-745F4,-7469A,-74449
-8BF13,-8BEE4,-8C093
-74446,-745CA,-74361
-8BE59,-8BD71,-8BE83
-741B8,-7446B,-74458
-8BCD6,-8BF41,-8BFFD
-744AE,-742CC,-7438D
-8BEB7,-8BF6B,-8BE11
-74510,-744EF,-7464F
-8C02C,-8BF0A,-8BE8A
-742C6,-740F9,-741E0
-8BCE3,-8BE26,-8BD35
-744B7,-7436E,-743A4
-8BF6D,-8BF3C,-8BDA8
-743A7,-744A2,-74341
-8BD1F,-8C0E9,-8BE60
-74468,-7435A,-7435C
-8BE2D,-8BD48,-8BD4E
-743FB,-74342,-74237
-8BDCC,-8BE72,-8BED6
-7440C,-7449D,-743E4
-8BD41,-8BDF8,-8BE1D
-74181,-74347,-742DD
-8BC8D,-8BD65,-8BE72
-740F9,-741B4,-742D9
-8BDE3,-8C004,-8BFA5
-7442C,-74567,-746C6
-8BF34,-8BFC0,-8C01B
-74497,-7452D,-744F0
-8BD53,-8BFC8,-8BF9D
-74628,-74425,-74602
-8BFE9,-8C0B1,-8BFD1
-743A4,-74504,-744CC
-8BF52,-8BEA6,-8BD5F
-743E5,-74323,-744CC
-8BDB9,-8C013,-8BFCC
-743AD,-74407,-74270
-8BD44,-8BCF6,-8BDDF
-74320,-743E3,-74440
-8BE28,-8C000,-8BDC9
-743AA,-744C0,-74348
-8BC67,-8BD19,-8BD5B
-74362,-741C4,-7443F
-8BEB4,-8BE4A,-8BEF8
-74482,-744D4,-743F4
-8BE5E,-8BF20,-8BECC
-7432E,-74495,-744D8
-8BDF3,-8BE44,-8BDAA
-744C2,-743B4,-745B9
-8BCD4,-8BE0C,-8BDF4
-7439C,-74312,-74200
-8BE00,-8BEBD,-8BEA8
-744A0,-74483,-74392
-8BDB6,-8BC5E,-8BC3A
-7449B,-7441C,-745CB
-8BD5F,-8BF32,-8BDFA
-743DB,-74342,-7432A
-8BD1B,-8BD3E,-8BDB7
-7408E,-74103,-7419D
-8BCBC,-8BD10,-8BC5C
-74226,-74109,-7402E
-8BA60,-8BAA0,-8BC89
-740EC,-74137,-741C1
-8BACB,-8BC88,-8BBAC
-740B4,-740BB,-741A5
-8BC20,-8BC44,-8BA22
-742BE,-741A5,-74038
-8B994,-8B9DC,-8B9EB
-7414F,-73EE8,-74252
-8BA4D,-8BB55,-8BC9B
-740CF,-7403F,-7417A
-8BAD2,-8BB19,-8BA3F
-73F6B,-73ECB,-73FC8
-8BADF,-8BAF6,-8BBDB
-73CF3,-73D5D,-73D6D
-8BB3E,-8B92C,-8B9BF
-74034,-740AF,-74045
-8BB89,-8B9CE,-8BAC7
-74061,-740F6,-7411F
-8BAFF,-8BAC7,-8BAC2
-73F99,-73F24,-74040
-8B888,-8BA10,-8BA6E
-73E60,-73E98,-73FA7
-8B8A2,-8BAB7,-8B9A9
-73E9D,-73FFF,-74142
-8BA73,-8B9AD,-8B9EF
-73E56,-73E38,-73F39
-8BABD,-8BB16,-8BB44
-73F93,-73F78,-7406E
-8B82C,-8BA50,-8BA26
-7421C,-74124,-7420B
-8BCF9,-8BC03,-8BC61
-7409B,-7415F,-74061
-8BB34,-8BADF,-8B9FB
-741F6,-73FDB,-74132
-8BBC2,-8BA1F,-8BB48
-740BB,-74058,-740DB
-8BAC9,-8BB28,-8BA14
-7403F,-740CC,-73FD4
-8B9A5,-8BAB8,-8BC84
-740E7,-7428A,-740BC
-8BC46,-8B9A5,-8B8E7
-741B9,-73F5F,-73DFF
-8BA5D,-8BA5B,-8BB99
-740C7,-73E6C,-73F12
-8B99C,-8B8F0,-8BB38
-73D6C,-74021,-73D47
-8B9AF,-8BB95,-8B9A0
-73F9C,-73EC1,-73F20
-8BA77,-8BB23,-8BA3A
-73E38,-74001,-73F22
-8BA36,-8B922,-8BA53
-73F6D,-73EAB,-7404A
-8B8A0,-8B9DF,-8B93D
-740A0,-73EC6,-73F6C
-8B8DE,-8BA44,-8B8E5
-73FE0,-73F65,-73EB4
-8B9DA,-8B875,-8B827
-73FDC,-73CF3,-73D94
-8B815,-8B9A2,-8B944
-73E45,-73DA1,-73E8C
-8B70D,-8B8A5,-8B97F
-74700,-749F9,-74A87
-8B485,-8B68C,-8B672
-73AED,-73B51,-73B2F
-8B563,-8B358,-8B637
-73CA3,-73A26,-73AA1
-8B4FA,-8B7DF,-8B796
-73AEB,-73B14,-73DAD
-8B645,-8B664,-8B5D8
-73C41,-7398E,-739D1
-8B352,-8B47D,-8B4AD
-7393F,-738C8,-73850
-8B447,-8B476,-8B5DA
-73AC7,-73B33,-73862
-8B311,-8B52A,-8B49E
-73C4C,-73C09,-73C06
-8B4F0,-8B49C,-8B626
-73BE8,-73AAF,-739E8
-8B392,-8B706,-8B530
-73BCE,-73C0E,-73B7E
-8B585,-8B4B5,-8B425
-739A6,-73B63,-73A13
-8B399,-8B4B1,-8B476
-73B4C,-73A23,-73A48
-8B2AC,-8B47C,-8B41D
-7392F,-73968,-73A65
-8B49A,-8B70C,-8B6F9
-73B44,-739A7,-73B85
-8B651,-8B5D4,-8B64E
-73D1F,-73BF5,-73A98
-8B551,-8B54F,-8B75A
-73B10,-73BF7,-73B97
-8B7C9,-8B4B6,-8B69C
-73CC1,-73DAA,-73C42
-8B6A8,-8B60A,-8B7DB
-73CAB,-73B07,-73D99
-8B832,-8B5D3,-8B668
-73B13,-73C12,-73A59
-8B68D,-8B43B,-8B4C3
-73B7C,-73AC9,-73D1E
-8B620,-8B3BA,-8B59F
-7393A,-7391E,-73B12
-8B688,-8B47E,-8B51C
-73AF1,-73B09,-73BD3
-8B636,-8B5A6,-8B387
-73ABB,-73AB7,-73BD0
-8B4E4,-8B48C,-8B613
-73ADC,-73856,-73B51
-8B39A,-8B693,-8B68E
-73928,-73974,-738B9
-8B5DD,-8B67B,-8B5C6
-73A56,-73BFD,-7397A
-8B488,-8B5FD,-8B5AF
-73C37,-73A0B,-73B52
-8B5E4,-8B49B,-8B354
-73ADA,-73A0E,-73BAD
-8B46F,-8B4F6,-8B657
-73A56,-73CA7,-73A21
-8B4FF,-8B697,-8B5C3
-73BE1,-73BA7,-73B03
-8B43E,-8B475,-8B54E
-73B8C,-73A85,-73A50
-8B2E4,-8B459,-8B573
-73A45,-73AE2,-73A79
-8B55F,-8B6A1,-8B542
-73781,-73695,-738CD
-8B2B3,-8B3E1,-8B3CA
-73940,-738DF,-738A3
-8B321,-8B39A,-8B2A8
-737FF,-739EF,-7379B
-8B329,-8B3D5,-8B4AA
-73A97,-73945,-73932
-8B35B,-8B35E,-8B327
-73892,-737FE,-73836
-8B10A,-8B13A,-8B233
-737DE,-73740,-737AD
-8B2CC,-8B133,-8AFFC
-736D3,-738DF,-738FA
-8B0CC,-8B119,-8B172
-73785,-7385B,-738FA
-8B4C8,-8B350,-8B2CF
-73726,-7368C,-73671
-8B399,-8B4DA,-8B31B
-73974,-738E1,-73BAA
-8B250,-8B194,-8B31C
-73991,-73836,-737CD
-8B2D7,-8B231,-8B2FC
-73648,-735D2,-73671
-8B07D,-8B272,-8B0B9
-7384A,-73714,-73769
-8B0E4,-8B195,-8B230
-73616,-737C3,-73874
-8B162,-8B0B2,-8B2A7
-73555,-737DD,-73946
-8B1C6,-8B1BF,-8B079
-7377B,-7355C,-73716
-8B027,-8B19B,-8B15E
-737CF,-7393A,-73779
-8B3AD,-8B29A,-8B2F3
-73AEE,-73962,-739BA
-8B1D6,-8B18E,-8B47C
-73898,-73738,-737A7
-8B2C8,-8B31E,-8B20A
-73838,-73812,-7386A
-8B19E,-8B317,-8B1E7
-738D9,-73849,-738D1
-8B46F,-8B2AA,-8B337
-73890,-7399F,-73A4D
-8B2E7,-8B24C,-8B2AB
-73736,-73929,-73555
-8B3A5,-8B47E,-8B3F4
-73816,-737CF,-738A0
-8B3AB,-8B1E5,-8B2A8
-73983,-735DC,-73820
-8B387,-8B42E,-8B3E5
-73828,-7390A,-73991
-8B3C6,-8B408,-8B47D
-73840,-737EF,-73725
-8B200,-8B3F5,-8B2A9
-738AB,-73855,-7390E
-8B266,-8B2C5,-8B24D
-736C5,-738B6,-738C6
-8B172,-8B376,-8B1C4
-7364E,-7396E,-73791
-8B21B,-8B2FB,-8B1B1
-73699,-73695,-73710
-8B0E8,-8B095,-8B26C
-7379B,-73618,-73782
-8B1D1,-8B196,-8B23A
-74C96,-74C91,-74D2C
-8B4CE,-8B51F,-8B448
-73A32,-73B73,-73B6E
-8B738,-8B58F,-8B394
-73AEE,-73AB0,-73A0D
-8B58E,-8B3C9,-8B5F6
-73CAC,-73A96,-73AA3
-8B3C0,-8B5CB,-8B4AB
-73B9B,-73A2A,-73BAC
-8B551,-8B5B1,-8B3BC
-73994,-73924,-73B17
-8B41B,-8B375,-8B4E4
-737D1,-7398C,-73AA7
-8B32A,-8B348,-8B34A
-739E3,-739B6,-738CC
-8B575,-8B532,-8B43F
-73626,-7374F,-737EC
-8B4A8,-8B524,-8B5C9
-73BCC,-739B1,-73A65
-8B5B8,-8B500,-8B435
-73B6B,-73A25,-73932
-8B2B4,-8B44D,-8B376
-738CF,-73904,-739A0
-8B2A6,-8B2A5,-8B457
-73A03,-73A05,-739AF
-8B3F0,-8B46F,-8B528
-73A54,-73A7B,-7395D
-8B30C,-8B512,-8B427
-737AE,-73839,-7386E
-8B2CF,-8B453,-8B4F2
-739BB,-73946,-73AAC
-8B4C8,-8B439,-8B493
-73B1F,-73981,-73A35
-8B596,-8B401,-8B4B6
-739EF,-73AB5,-73C00
-8B2A2,-8B4BF,-8B3C3
-73939,-73AA7,-73A15
-8B295,-8B44E,-8B482
-739EF,-73A04,-73BC7
-8B569,-8B3DB,-8B6DB
-73916,-739C2,-7395B
-8B47E,-8B504,-8B40A
-738B2,-73AC7,-7387C
-8B2B9,-8B472,-8B5E4
-73916,-73936,-73770
-8B250,-8B32C,-8B1D8
-73AEE,-73864,-73809
-8B24C,-8B2DF,-8B4D1
-735FA,-734E3,-73819
-8B344,-8B2E7,-8B28A
-73800,-73942,-73989
-8B140,-8B2C8,-8B2C4
-73982,-738F8,-737BC
-8B3D0,-8B39C,-8B460
-7381D,-739FD,-735E6
-8B550,-8B35C,-8B466
-738A5,-736C6,-738A4
-8B41E,-8B386,-8B1E3
-73811,-73991,-7394F
-8B2B9,-8B26C,-8B1DE
-7371B,-73805,-73771
-8B09C,-8B2BE,-8B182
-73809,-7375A,-737D0
-8B220,-8B225,-8B2A5
-73534,-7349F,-734D1
-8AF61,-8AFC3,-8AFA5
-7370B,-735E8,-73633
-8AFEE,-8AFB9,-8AFF1
-73604,-736E2,-73491
-8B00E,-8B153,-8B096
-7364D,-735B5,-735B5
-8AF82,-8B09E,-8B141
-7355E,-7333D,-736D9
-8B071,-8AFD8,-8AF6E
-735F9,-7354B,-734D5
-8B077,-8B0AA,-8B061
-7358F,-73438,-734A4
-8B01B,-8B128,-8AF9F
-735D0,-73661,-73552
-8AE54,-8B084,-8B000
-733FE,-7323B,-73499
-8B025,-8B003,-8AFFC
-73572,-73636,-735F7
-8AFDF,-8B0FB,-8AEC3
-737E4,-736C9,-7336F
-8B01D,-8AFC8,-8AF1F
-736D4,-73668,-73697
-8B117,-8B0CC,-8AD95
-73511,-7343A,-7330A
-8AFE1,-8B018,-8AFF6
-73640,-734E0,-735D7
-8AF4D,-8B031,-8B1BD
-73635,-735BF,-73487
-8AFF0,-8ADA6,-8B016
-736FB,-734B1,-734CC
-8AF7B,-8AF92,-8B0F1
-73763,-73737,-735B3
-8B1B3,-8B1C8,-8B0A6
-7365E,-73753,-7367D
-8B002,-8B036,-8B0CA
-73639,-73681,-735F4
-8B162,-8B404,-8B0E0
-73667,-73875,-73618
-8B241,-8B1B1,-8B055
-7366F,-73698,-735E4
-8B00F,-8B03B,-8B26D
-736A4,-73682,-736D8
-8AF9D,-8B0FA,-8AF88
-73455,-73557,-73545
-8B040,-8B041,-8AF9D
-73598,-736E0,-73796
-8AFC3,-8B07C,-8B02F
-735E5,-736B0,-7350E
-8B16F,-8AF9F,-8B0B5
-73591,-735B5,-73693
-8AF2B,-8AFC7,-8B0D5
