{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-91AED,-9185A,-91A73
-79E3A,-79D38,-79EE7
-918BF,-91808,-91769
-79D54,-79DCD,-79BC6
-917B5,-9175F,-916E8
-79B7E,-79C73,-79E3C
-918AA,-9176F,-91899
-79D47,-79D5D,-79E53
-918F8,-918A4,-91773
-79FB6,-79E85,-79B9C
-91813,-917A4,-91792
-79C59,-79C85,-79E6B
-9177E,-917EE,-919E4
-79E95,-79DC6,-79CC1
-91695,-91767,-919AC
-79DD9,-79B82,-79D69
-9179F,-91833,-917F6
-79C98,-79C8D,-79B56
-9171D,-9194F,-91962
-79D36,-79C48,-79CCA
-91696,-9197A,-918BD
-79EAA,-79DC4,-79E9D
-91758,-919B0,-917CE
-79E54,-79D04,-79D52
-9188E,-916BF,-917EB
-79BBF,-79D02,-79CAB
-91526,-9184A,-91751
-79C74,-79BB7,-79B88
-9171C,-9179F,-915FC
-79D6E,-79E3F,-79DDB
-91760,-91888,-91874
-7A22D,-79CA9,-79F76
-91B63,-91961,-918B3
-79D8A,-79F1E,-79EF7
-91A07,-918FE,-919D3
-79D8C,-79FAA,-79F18
-91943,-918E1,-91875
-79CB4,-79EAF,-79E6B
-9188B,-91881,-9178F
-79E9E,-79CBA,-79E4E
-91777,-91819,-91723
-79CDB,-79BB2,-79DDB
-91754,-91696,-916AB
-79F2A,-79CBB,-79BBC
-915A9,-913E0,-916B9
-79BA9,-79A3D,-79BD4
-9167E,-91703,-91843
-79D0A,-79AD8,-79B0E
-916AC,-91853,-916E8
-79CCE,-79D84,-79EC9
-9198A,-917EB,-9189C
-79C7C,-79CAD,-79CE4
-918D8,-9180B,-918C7
-79DC6,-79DC7,-79D80
-915B4,-91496,-916FA
-79DB9,-79D01,-79D57
-9168C,-916A6,-917EF
-79D5A,-79DDB,-79DF0
-9155F,-91797,-9170D
-79CD6,-79CC7,-79D6B
-9196D,-91764,-9150F
-79E3D,-79B72,-79D04
-91672,-91612,-91656
-79C8F,-79AD6,-79D32
-91568,-9168B,-915D1
-79B8C,-79A27,-79AD3
-915B5,-914C1,-9145E
-79B46,-79B95,-7991A
-91425,-91500,-91576
-79C93,-799A9,-79AC4
-91590,-9155D,-913C2
-799B4,-79A6B,-79A30
-91539,-9143F,-914D4
-79B64,-799DD,-799B5
-91646,-913F9,-913A8
-798E7,-7975A,-79967
-9143B,-91328,-9135C
-79976,-79952,-799F7
-91441,-91411,-91537
-7986E,-79AE4,-7988B
-914B8,-91384,-9159B
-79A6D,-79A92,-79B39
-9156A,-91402,-912FB
-7993C,-799E4,-79A24
-9142D,-9145B,-91378
-799B3,-79909,-798CF
-91365,-91310,-912D8
-79817,-798A3,-79799
