{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-99856,-99962,-998CF
-81CC3,-81D9F,-81D7C
-99720,-99868,-9975C
-81CD7,-81BA4,-81B72
-99762,-99742,-997BA
-81E09,-81CB8,-81C0C
-9972C,-9974D,-99701
-81D8D,-81C09,-81CE3
-99602,-996C7,-99737
-81CBB,-81C64,-81C65
-997BF,-9967F,-995CD
-81DDE,-81C0B,-81DA0
-99650,-99558,-9982E
-81D82,-81BE7,-81D11
-99690,-99732,-9976B
-81D4F,-81B4D,-81D04
-998C6,-99927,-9985A
-81CC7,-81E41,-81D97
-9977F,-999AB,-9956D
-81B8B,-81AFD,-81C5E
-995B6,-99874,-9988E
-81DB7,-81D47,-81B79
-99555,-99472,-995C7
-8199E,-8197B,-81AE9
-995FF,-996F8,-99472
-81CB4,-81AF8,-81A23
-9978F,-996EA,-995E4
-81DC7,-81BE3,-81B35
-9965D,-99650,-99629
-81D26,-81BFA,-81BDA
-995E8,-995D0,-99870
-81E0C,-81D0F,-81B6A
-9973D,-996F3,-99758
-81BCC,-81E54,-81DAB
-99637,-996E8,-997D3
-81CED,-81D8D,-81BEB
-99855,-99752,-997B9
-81EA0,-81CDD,-81C36
-995A5,-99634,-99733
-81D68,-81BDD,-81A94
-995EE,-99860,-99545
-81D14,-81C41,-81BCC
-99593,-995C7,-9979B
-81D0C,-81CDE,-81BAE
-996E1,-99729,-998A3
-81D68,-81D6A,-81BC5
-996BC,-993D4,-996C4
-81D6C,-81BB0,-81AFF
-996A0,-9997B,-9983E
-81E7B,-81C93,-81E00
-997D6,-9973D,-9964F
-81C36,-81BBD,-81B78
-996CE,-99776,-9973D
-81CFC,-81D7A,-81C03
-99754,-9979D,-996BF
-81CA4,-81B42,-81E3E
-996B2,-99704,-997E6
-81C89,-81D98,-81C60
-996C6,-997DC,-9971D
-81E49,-81BF5,-81C20
-9968D,-9961B,-99630
-81BBF,-81BA5,-819D9
-99779,-99584,-997AA
-81BC9,-81B20,-818FE
-993FA,-994A2,-994B6
-81A62,-8197A,-818AB
-99477,-994CA,-9939B
-818BF,-819BD,-819C7
-9937C,-99375,-9918F
-817F1,-81922,-81786
-993B9,-9965F,-993BE
-8194B,-8180E,-8197C
-993D1,-9932A,-992BE
-8184E,-8190C,-81992
-99381,-993C0,-993BA
-81A04,-81930,-819A6
-99354,-99360,-991EA
-81981,-81907,-81948
-992EA,-99537,-992BF
-8160A,-8178E,-816F5
-99312,-992C0,-993AA
-81960,-8178F,-817DC
-99475,-99300,-992F6
-8179C,-8185D,-8168C
-992C0,-9925F,-9933B
-8174A,-817AE,-8190B
-991A7,-9949A,-9935E
-8195B,-819D8,-817CA
-991ED,-9915A,-9944A
-817B6,-819B3,-8183C
-992EC,-992A7,-992BC
-8182C,-81894,-817DB
-99252,-9927A,-99302
-819A5,-81921,-818FB
-99234,-9932F,-99246
-81B33,-81AC5,-81962
-994EA,-994CE,-993D8
-81B08,-81929,-81A9A
-99551,-995FB,-99599
-81C9C,-81A1E,-819E1
-9942C,-99418,-99449
-81AD2,-819C5,-81952
-993A6,-993A9,-99358
-81A5A,-81B31,-818AA
-9936F,-9951B,-99391
-817C5,-81909,-819C0
-9941B,-99455,-99509
-8193F,-81A8F,-81910
-994BC,-994AA,-99373
-81A39,-81989,-81A82
-993C7,-993D0,-9937F
-81AE6,-81944,-818DC
-994BA,-991EA,-99522
-81CF0,-81954,-81925
-99518,-993EC,-99522
-8186E,-81990,-818AA
-993BF,-99341,-9934A
-818F7,-81A04,-818EA
-99456,-99250,-99576
-81AB6,-81A11,-818F3
-992F9,-992EF,-993CE
-818E1,-8183C,-818DE
-991E3,-99504,-993A4
-816EB,-81687,-816B5
-99232,-991FC,-99416
-81918,-8180C,-816E6
-993E5,-9935D,-99407
-82190,-82334,-8250D
-98E93,-99085,-99097
-8157D,-81540,-816DE
-98F33,-99011,-99201
-815BA,-81362,-81618
-98F28,-98FC0,-98E8B
-81784,-814AE,-81492
-9909A,-99104,-98FAA
-8154F,-813ED,-813F0
-98F8E,-98F0C,-99031
-81591,-8165B,-81426
-99016,-9901E,-98ED5
-814E6,-8154F,-814ED
-98EA4,-99057,-98EBB
-8146A,-81572,-8146A
-98E7E,-98E4B,-98F24
-814FF,-81305,-81479
-98C66,-98F2B,-990CF
-815F4,-8128E,-8147B
-9900C,-98F3C,-98F8E
-814AD,-8149C,-8147A
-98E04,-99023,-98FAD
-8140B,-8132A,-8115E
-98DE9,-98E8B,-98E45
-816EF,-815E5,-81521
-98DF8,-98D75,-9906C
-81436,-814EC,-814D6
-98DF8,-98E31,-98DD4
-814FB,-81359,-81239
-98CA0,-98E3A,-98DFF
-811E6,-81233,-813F1
-98D17,-98DAE,-98DCA
-814A6,-81716,-814F4
-990C4,-99002,-99030
-815AA,-81731,-81787
-99367,-991DC,-99001
-8141D,-815F3,-8170C
-99007,-991D0,-98F8A
-81595,-814ED,-815F1
-98FB7,-98FBF,-98EEF
-813E8,-8164E,-81630
-98D41,-98F2D,-98E95
-8168A,-81512,-81716
-99059,-9914E,-9910D
-815E7,-8153F,-81431
-98F81,-98F18,-98EC9
-8156B,-814A2,-81541
-99143,-99119,-98DE1
-81425,-813E7,-811E5
-98F64,-98E92,-98F04
-81550,-81498,-8152F
-98F19,-98EDB,-98F13
-81367,-81480,-81540
-98D1E,-98F06,-98F77
-81626,-814CF,-813DD
-98DEF,-98E35,-98FC7
-81312,-813B0,-8148D
-98DE1,-98E9D,-98D57
-813D1,-81360,-81121
-98D69,-98F53,-98CA3
-81391,-81311,-81324
-98EEC,-98CE5,-98F3B
-814D1,-812E2,-813C4
-98E6C,-98F1E,-98F59
-8125A,-812AA,-80FF7
-98C5F,-98C80,-98CC2
-811D4,-811F1,-8114B
-98A47,-98CEB,-98AA2
-80F66,-8113C,-81310
-98C3A,-98B8B,-98BC7
-81158,-8122B,-8117E
-98C22,-98C7B,-98E36
-810AE,-8123A,-80FD9
-98BEE,-98B95,-98BED
-80FD3,-81005,-8107B
-98C67,-98B6F,-98C5E
-81222,-81121,-81151
-98BDE,-98C90,-98B56
-811F9,-81092,-8105B
-98B4B,-98BEE,-98A68
-81205,-8128F,-81059
-98B15,-98CB6,-98CC5
-81334,-812CF,-81055
-98AF0,-98B83,-98ABF
-8112B,-80F57,-810D0
-98B86,-98A6E,-98BB0
-8105C,-810FA,-81201
-98C36,-98B20,-98B69
-810B1,-8110A,-80FE9
-98867,-98A48,-98CAC
-81306,-81152,-810DA
-989FE,-98DAC,-98943
-80F87,-80F66,-811B7
-98A2D,-9896E,-98B53
-81036,-810DD,-810A3
-98A18,-98BE7,-98A02
-812A1,-811E1,-810B3
-98CAF,-98AC5,-98B6E
-81369,-81285,-81191
-98AC6,-98ABE,-98BCC
-8113F,-81130,-811BE
-98A51,-989CF,-98C62
-8122A,-81176,-81228
-98C90,-98CCC,-98D16
-810AD,-81003,-8123D
-98E16,-98C0F,-98D6D
-810A5,-81115,-81226
-98AD7,-98ADB,-98B89
-811DC,-810A1,-811AE
-98B59,-98B79,-98A00
-81126,-81077,-81136
-98B06,-98AB8,-98BCB
-80FE3,-81078,-80EAC
