{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A17DB,-A177B,-A175F
-89BEF,-89C82,-89B6F
-A1690,-A182D,-A16EB
-89D22,-89C28,-89B90
-A18B7,-A1654,-A18C3
-89D2D,-89B03,-89EA9
-A1746,-A159D,-A18BD
-89C07,-89B79,-89B3B
-A1653,-A14E1,-A1575
-89BB1,-89B64,-89B5D
-A14A1,-A163E,-A1492
-89D4B,-89CA0,-89B56
-A1697,-A15FE,-A16DD
-89A5E,-8990D,-89B9A
-A1491,-A1643,-A1523
-89947,-89B2D,-89AA1
-A175B,-A15FC,-A1640
-89CB6,-89BF3,-89C89
-A179E,-A15E4,-A16CA
-89B08,-89AF1,-89B02
-A1756,-A1574,-A17B1
-89AE7,-89C51,-899E4
-A14C6,-A162F,-A1695
-89ABA,-89ADA,-899CC
-A13DC,-A15A9,-A1555
-89C04,-89B2A,-89BA7
-A15CA,-A1623,-A1625
-898E7,-89AE7,-89B05
-A1505,-A15CB,-A15F0
-899C7,-899F4,-89AD7
-A1454,-A13B4,-A1552
-89AB5,-89BEB,-89C8D
-A17D3,-A176D,-A16CF
-89CF8,-89C34,-89B79
-A15DA,-A1656,-A16EB
-89BF9,-89C5B,-89C0D
-A1582,-A15EA,-A155C
-89DE5,-89BA3,-89AA1
-A1643,-A15B7,-A17CD
-89BB2,-89B99,-89CED
-A15D3,-A167E,-A1650
-89A7B,-89BDF,-89913
-A17D7,-A1691,-A15C8
-89B0F,-89AB5,-899E1
-A1663,-A154C,-A1778
-89B6B,-89CB4,-89BE5
-A1662,-A1502,-A15D1
-89A87,-89B9D,-89AE7
-A1652,-A1777,-A1437
-89AD0,-89B66,-89BD1
-A1641,-A162C,-A1706
-89D81,-89C1C,-89B91
-A14EF,-A14D9,-A152F
-89ABA,-89BE3,-899A6
-A149D,-A165E,-A1513
-89AD2,-899AD,-899D3
-A1569,-A143F,-A14C8
-89A68,-89B79,-89A1F
-A1404,-A15F1,-A1505
-89B59,-89AE8,-89A00
-A1586,-A164E,-A14ED
-899C6,-89A59,-898C1
-A15A3,-A13C4,-A13FC
-899EF,-8982C,-89923
-A1275,-A137D,-A1368
-897CD,-89828,-897BA
-A1249,-A1241,-A1310
-8974C,-897A2,-8976B
-A13D7,-A11ED,-A1312
-89AB7,-8993D,-8980E
-A1476,-A13E4,-A1249
-8989E,-8969B,-89827
-A12F9,-A13E2,-A124D
-896EE,-89853,-89715
-A1087,-A119F,-A13DB
-89848,-89793,-89557
-A1099,-A125F,-A1077
-896CA,-8980B,-8971F
-A13A8,-A1269,-A12DF
-896D8,-89600,-897C2
-A1317,-A125A,-A12B9
-897B6,-898A1,-89847
-A1394,-A12D2,-A13C9
-89944,-8986B,-897AF
-A1204,-A124A,-A122B
-89900,-897C4,-8962E
-A11DF,-A1213,-A1391
-897F6,-896C4,-898DE
-A1292,-A1281,-A129F
-8974C,-8982E,-89779
-A1342,-A12AA,-A1192
-89760,-894D9,-89655
-A109E,-A0F5F,-A1220
-89717,-897A5,-89665
-A0F4C,-A12BD,-A11D4
-8976D,-8970B,-89802
-A1465,-A13BB,-A13CD
-89A2D,-897F1,-89866
-A136D,-A14E8,-A1306
-898AA,-898AD,-899D3
-A1410,-A1391,-A12CE
-89759,-89873,-8989C
-A13C2,-A1161,-A1388
-89878,-896EF,-8987E
-A1461,-A10FF,-A1309
-8994D,-8995A,-8981E
-A1179,-A1550,-A12EA
-8996B,-89773,-8987A
-A11F2,-A1176,-A12DB
-898E0,-89886,-89809
-A131C,-A11F2,-A13AD
-89720,-896F6,-896B6
-A14CB,-A118F,-A1527
-8985A,-89AEF,-89961
-A12DF,-A13E3,-A132B
-898F1,-89A35,-897EE
-A12F9,-A120E,-A1487
-89890,-89908,-89A0B
-A1325,-A1558,-A13AB
-898D8,-897FE,-8952D
-A129A,-A134F,-A1227
-89779,-89758,-89834
-A122D,-A111F,-A12B0
-89622,-89718,-89901
-A1464,-A14BA,-A140C
-89668,-8970E,-89722
-A123F,-A10FB,-A1220
-8A31C,-8A268,-8A40A
-A0EDF,-A0F80,-A0FD2
-894EC,-895CF,-894F9
-A0E90,-A0F02,-A10CC
-89505,-893BA,-89386
-A1099,-A1039,-A0DE3
-89376,-892FD,-89380
-A0F56,-A0E62,-A0DDC
-8951E,-894B4,-8924B
-A0E72,-A0DB2,-A0E3C
-89434,-893D8,-892A4
-A0BD1,-A0E2B,-A101E
-89542,-892B4,-89299
-A0D7A,-A0DB0,-A0CE7
-8936C,-893CA,-8932C
-A0CB5,-A0DA1,-A0D44
-89210,-891BC,-8923B
-A0E13,-A0F70,-A0E0F
-893B1,-89516,-894FE
-A0FA6,-A0DAD,-A0F94
-8941F,-89348,-892A9
-A0EA2,-A0DFD,-A0D35
-89385,-891DB,-8939B
-A0E26,-A0F8B,-A0DFE
-893DC,-893E1,-89438
-A0F88,-A0D12,-A10D0
-894F7,-8943E,-8941C
-A0D6F,-A0E41,-A0C5C
-8932C,-893E0,-89308
-A0C5E,-A0FA3,-A0CD8
-892D0,-8930A,-892C7
-A0DCA,-A0D18,-A0B77
-89436,-893AA,-895CF
-A0CE3,-A0F7E,-A100B
-894E6,-893C6,-89272
-A0D76,-A0F34,-A0D2F
-893B2,-893C5,-89294
-A0F1D,-A0E19,-A0D84
-893D6,-8942B,-89371
-A103A,-A0D9A,-A0E5C
-891F2,-89338,-89400
-A0D06,-A0D55,-A0D37
-892F1,-89353,-89359
-A0C4F,-A0DDD,-A0DE2
-893D8,-891FD,-891FE
-A0CBC,-A0CE8,-A0CA5
-893CD,-893D0,-892F7
-A0DEB,-A0CE6,-A0F23
-893AB,-893C4,-89238
-A0DF1,-A0F81,-A1097
-89340,-8935C,-8921F
-A0E1C,-A0DE2,-A0E0F
-89214,-89230,-892B0
-A0D28,-A0A96,-A0EBE
-891DE,-8918E,-8936A
-A0CD5,-A0D22,-A0CCE
-89303,-893BB,-89156
-A0EA9,-A0E92,-A0B3A
-8929F,-8926D,-892F3
-A0C86,-A0C95,-A0DA3
-89229,-8939C,-892DE
-A0C62,-A0B9E,-A0DDB
-8931F,-892B8,-891D4
-A0DD1,-A0E84,-A0CD7
-89087,-890BD,-890EE
-A0C8E,-A0C5A,-A0BCB
-8912F,-89209,-8915B
-A0B5A,-A0B5D,-A0A80
-89161,-89089,-8908F
-A09D8,-A0B9A,-A0A8D
-88F00,-891DC,-89084
-A0C7A,-A0B9F,-A0C6A
-89035,-88FD8,-89171
-A0B8C,-A0B8D,-A0A17
-8908B,-88FD2,-891F4
-A0A4B,-A0AF3,-A0B3F
-890BF,-88E10,-88EDF
-A0BF0,-A0AB3,-A0A48
-89006,-8901F,-88FE0
-A0A2D,-A0AB9,-A0A45
-89165,-88FD3,-8900C
-A0B51,-A0BA3,-A0B1E
