{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A763D,-A770E,-A7673
-8FAB8,-8FBFB,-8FAFA
-A7569,-A748C,-A74C6
-8FB4C,-8FAF2,-8F998
-A7300,-A74E7,-A7642
-8FD01,-8FB30,-8FAAE
-A7605,-A75A7,-A7512
-8F9FA,-8FC9D,-8FA26
-A7592,-A75A7,-A75BF
-8FB26,-8FA4B,-8FC3C
-A7551,-A7595,-A7646
-8FC20,-8FC45,-8FBAA
-A767D,-A7439,-A752E
-8FA19,-8FA1B,-8FAA4
-A74C5,-A7618,-A7545
-8F82E,-8F91A,-8F9C8
-A7458,-A7615,-A756A
-8FADC,-8FC02,-8F990
-A74CE,-A770D,-A7647
-8FB68,-8F8FB,-8FA67
-A7445,-A754F,-A74CA
-8FCC6,-8FAA0,-8F9AB
-A74D0,-A74AA,-A71CE
-8F973,-8F9D9,-8FAAC
-A7425,-A755D,-A738B
-8F9CB,-8FB2A,-8F9DA
-A73C0,-A7416,-A7321
-8F96A,-8F8EE,-8F994
-A73A4,-A73F1,-A739B
-8FA95,-8F872,-8F98E
-A763E,-A75A7,-A739C
-8FCF6,-8FC79,-8F940
-A76EB,-A74C7,-A7680
-8FAB9,-8FC33,-8FAF2
-A76D8,-A751B,-A75C0
-8FC63,-8FA6E,-8FB9D
-A75EA,-A7502,-A76C0
-8FB55,-8FC3B,-8FA65
-A760F,-A748F,-A7709
-8FAB5,-8FC21,-8FAFA
-A746D,-A7532,-A74E8
-8FAF6,-8FBBB,-8F90D
-A75BC,-A759E,-A75F5
-8FCE1,-8FACA,-8FB3E
-A74CB,-A76FF,-A738A
-8FB84,-8F9C9,-8FADF
-A75FB,-A7576,-A7761
-8F95B,-8FC8E,-8F985
-A766D,-A74F5,-A738B
-8FC3E,-8FBD1,-8FA55
-A7622,-A75F0,-A76BC
-8FA18,-8FB1C,-8FAC9
-A766B,-A743D,-A75DA
-8FACC,-8F8CD,-8F8B4
-A72BF,-A750D,-A749B
-8F9F7,-8FAAC,-8F9EB
-A74C2,-A74A5,-A74E0
-8FB43,-8FADE,-8F97E
-A74FA,-A739B,-A74F9
-8FA22,-8FB84,-8FB13
-A7650,-A7496,-A73B8
-8FB6B,-8F98D,-8FACB
-A7401,-A7614,-A74BB
-8F95A,-8FA8F,-8F8EF
-A750B,-A7475,-A73C0
-8F829,-8F81E,-8F99A
-A7311,-A72D9,-A724F
-8F784,-8F8A5,-8F815
-A727C,-A7103,-A73A0
-8F6DA,-8F924,-8F7B1
-A7139,-A71D2,-A7207
-8F673,-8F8C1,-8F57B
-A709C,-A720A,-A70EA
-8F687,-8F6FD,-8F74D
-A71F4,-A725C,-A72C8
-8F7A0,-8F6D3,-8F751
-A7094,-A7219,-A6FB5
-8F5B6,-8F882,-8F50E
-A6FD1,-A7258,-A7185
-8F5BF,-8F4F0,-8F70A
-A72A1,-A70C4,-A7269
-8F703,-8F76B,-8F702
-A7090,-A71B3,-A7246
-8F68B,-8F74A,-8F6AF
-A7017,-A714C,-A71EA
-8F66A,-8F766,-8F691
-A6FF9,-A7119,-A71EF
-8F681,-8F670,-8F66E
-A6E61,-A72D3,-A70B3
-8F669,-8F5B2,-8F6D6
-A6FBD,-A6F3F,-A7002
-8F563,-8F5EB,-8F4DE
-A7007,-A6F5C,-A7004
-8F694,-8F451,-8F6A9
-A706F,-A722A,-A71C7
-8F73F,-8F86D,-8F796
-A71A5,-A71C8,-A71FD
-8F7E6,-8F801,-8F715
-A7234,-A7335,-A7413
-8F5F0,-8F798,-8F846
-A71E0,-A6FD6,-A73C4
-8F7DE,-8F799,-8F76F
-A716B,-A71CD,-A7163
-8F72D,-8F786,-8F83C
-A7128,-A72B5,-A732A
-8F799,-8F8B5,-8F626
-A70B8,-A7247,-A71FF
-8F6C8,-8F724,-8F5B0
-A7126,-A7090,-A72F4
-8F5C8,-8F64A,-8F5D6
-A7173,-A7133,-A706A
-8F496,-8F665,-8F6C7
-A710D,-A71E2,-A70DF
-8F941,-8F639,-8F91D
-A71B9,-A7069,-A70D0
-8F5F1,-8F6E4,-8F654
-A7104,-A71E1,-A7069
-8F6F0,-8F72F,-8F8A8
-A716D,-A714A,-A7132
-8F6C8,-8F743,-8F7AF
-A719F,-A70DE,-A6F81
-8F70F,-8F783,-8F47D
-A6E82,-A70F4,-A704E
-8F750,-8F720,-8F6C6
-A7041,-A713B,-A72A3
-8F4F4,-8F522,-8F61D
-A712C,-A703B,-A6F6F
-90053,-8FD6A,-900C5
-A6BAD,-A6C94,-A6C5B
-8F2F6,-8F393,-8F20A
-A6D07,-A6BE7,-A6DEA
-8F188,-8F2C0,-8F1BF
-A6CA3,-A6D25,-A6C28
-8F235,-8F0B7,-8F260
-A6D64,-A6B4E,-A6A39
-8F186,-8F17F,-8F246
-A6D17,-A6B36,-A6E8B
-8F16F,-8F321,-8F451
-A6B68,-A6978,-A6C40
-8F42E,-8F140,-8F2E1
-A6C08,-A6CBE,-A6C13
-8F27C,-8F0DD,-8F13A
-A6C35,-A6B9B,-A6C05
-8F07F,-8F14E,-8F09F
-A6ABE,-A6C96,-A6DB4
-8F21F,-8F17D,-8F0D7
-A6CBB,-A6D61,-A6DCF
-8F21A,-8F1BD,-8F316
-A6C44,-A6D1F,-A6BA7
-8F1BC,-8F29C,-8F248
-A6CFF,-A6D01,-A6CEA
-8F2FA,-8F30B,-8F167
-A6BFE,-A6B76,-A6D4C
-8F26D,-8EFD7,-8F2F1
-A6C97,-A6B24,-A6C77
-8F134,-8F183,-8EF39
-A6AF1,-A6BEF,-A6C62
-8F1CF,-8F1B4,-8F0AB
-A6BCE,-A6D16,-A6C0D
-8F3C3,-8F3AB,-8F284
-A6F31,-A6EE7,-A6DE7
-8F2DF,-8F269,-8F1EB
-A6DB4,-A6D17,-A6B6C
-8F1D4,-8F1B2,-8F249
-A6CCF,-A6D90,-A6C03
-8F162,-8F164,-8F0CA
-A6BA3,-A6CC3,-A6ECE
-8F268,-8F2C6,-8F36D
-A6DD6,-A6A99,-A6D7D
-8F36F,-8F130,-8F0BD
-A6D55,-A6A57,-A6C0E
-8F0F2,-8F22C,-8F0E3
-A6BD2,-A6D37,-A6C50
-8F330,-8F274,-8EF5A
-A6D0E,-A6BB0,-A6B7C
-8F055,-8F143,-8F17B
-A6DF4,-A6BB7,-A6A54
-8F2B3,-8F19C,-8F23B
-A6D33,-A6AB2,-A6CCA
-8F13F,-8F182,-8F232
-A6CCE,-A6982,-A6A01
-8F20C,-8F1D4,-8F1A8
-A6BAB,-A6CB5,-A6D01
-8F238,-8F21D,-8F2EA
-A6EBF,-A6CC7,-A6B8E
-8F1DA,-8F263,-8F28A
-A6B3C,-A6ACC,-A6D61
-8F284,-8F152,-8F04B
-A6B0D,-A6AAD,-A6AFB
-8EF4D,-8EF1B,-8EFCE
-A6BCA,-A6C93,-A6E59
-8EE26,-8F112,-8F0D2
-A69BD,-A69C9,-A6976
-8EE94,-8F10E,-8EF52
-A6893,-A6B43,-A69B6
-8EF11,-8EEE0,-8F19B
-A6A03,-A69DA,-A683A
-8F00B,-8EE9F,-8EFE9
-A6765,-A69BF,-A6B19
-8EF96,-8EE09,-8ED54
-A6772,-A6A2C,-A69A5
-8EF87,-8F085,-8F071
-A6A40,-A6A67,-A6968
-8EF06,-8EF16,-8EEA3
-A674D,-A692D,-A69A7
-8EF53,-8EFD9,-8EE8A
-A6855,-A6936,-A6977
-8ED51,-8ED8B,-8ECDD
-A6A2F,-A6A85,-A6A09
-8EEA4,-8EEA0,-8EE79
-A6914,-A6A88,-A6911
-8EEB6,-8EF10,-8EEDC
-A691E,-A6903,-A68F4
-8EEB2,-8EF0A,-8EE98
-A6B4C,-A68B0,-A6915
-8EFC8,-8ED7C,-8ED00
-A6B66,-A6903,-A67F1
-8EF4F,-8EE6B,-8EC17
-A67EA,-A665C,-A6874
-8EC97,-8EC6A,-8ED76
-A6784,-A6A9E,-A66D4
-8EF1F,-8ED41,-8EDE5
